id,武将名,武将ID,职业,职业ID,初始等级,技能名称,技能描述,武将描述
,,,,,,,,
,王元姬,36,骑,,1,开晋之后,对前方一列敌人造成伤害，持续4回合，并使其防御弱化,骑兵，近战，攻击型前排暴力打手
,甘宁,6,步,,1,锦帆袭,对敌方所有将领造成大量伤害,步兵，近战，血厚防高的前排肉盾
,祝融夫人,53,步,,1,火神之怒,对前排敌人造成成吨的伤害，并附带额外暴伤,步兵，近战，豹纹，女汉子！血厚防高的前排肉盾
,吕蒙,51,骑,,1,白衣渡劫,使敌方所有武将攻击力持续弱化，对骑兵有额外弱化,骑兵，近战，辅助型前排打手
,,,,,,,,
1,张飞,1,骑,,1,惊天烈地,张飞来也！,
2,张飞,1,步,,1,惊天烈地,又来个张飞！,
3,张飞,1,步,,1,惊天烈地,还是个张飞！,
4,张飞,1,骑,,1,惊天烈地,依然是张飞！,
,,,,,,,,
,孟获,68,步,,,,,
,,,,,1,破敌策,对前列敌方将领造成成吨的伤害，附带少量额外伤害,近战骑兵，卖的一手好萌！小心她那勾魂镰刀哦！
,,,,,1,陷阵营,对前排敌人造成大量伤害，并附带额外暴击率,近战步兵，一将成名万骨枯，他是一名死士！
,,,,,1,火神之怒,对前排敌人造成大量持续伤害，并附带额外暴伤,近战步兵，穿豹纹的女汉子！哎呦她这火爆脾气！
,,,,,1,河北铁骑,对全体敌方武将造成大量的伤害，且机率使其晕眩,近战骑兵，北方大汉！打，打，打，打你个大西瓜！
,,,,,,,,
,,,,,1,蛮王怒火,对前排敌人造成成吨的伤害，并附加眩晕效果,步兵，近战，血厚防高的前排肉盾
