副本ID,副本类型,副本名,副本描述,前置副本,开启等级,战斗等级,战斗配表,战斗阶段,战斗场景1,战斗场景2,战斗场景3,剧情,BOSS ID,BOSS名称,BOSS头像框,消耗类型,消耗类型值,战争迷雾,挑战次数,过关经验,星级经验修正,过关金钱,星级金钱修正,首次通关奖励,背景音乐,x坐标,y坐标,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1=普通副本 2=精英副本 3=传奇副本（武将专属的传记副本） 4=活动副本（经验副本、金钱副本等）,一个地图内的副本名称,,副本开启所需要完成的前置副本,副本开启所需的玩家等级,副本中敌人的等级,场景表，副本中敌人的配表,,第一阵战斗场景,第二阵战斗场景,第三阵战斗场景,"默认=0=无,1=有剧情对话,talk.csv配表中查找副本ID=此id的剧情",副本boss的ID,,,1=体力  2=门票,消耗体力值/门票数量,0=没有迷雾，1=有迷雾即不显示敌方阵型,默认空=无限制；>0代表每天可以打n次,,,,,item表id=数量,路径,每个关卡boss中心点横坐标,每个关卡boss中心点纵坐标,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ae5-570,640-Af5-320,,
10101,1,初战黄巾,初到三国，恰遇一小波黄巾流寇，其首领名为——廖化！,,1,1,csv/scene/PT/0101.csv,1,resource/bg/ShuLin_1.jpg,resource/bg/ShuLin_2.jpg,resource/bg/ShuLin_3.jpg,1,132,廖化,2,1,3,0,9999,10,1=100  2=104  3=108,10,1=100  2=104  3=108,1=1 31=1 6003=2,,-316,153,,
10102,1,颍川之战,黄巾将领程志远来犯！,10101,1,1,csv/scene/PT/0102.csv,1,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,264,程远志,2,1,3,0,9999,12,1=100  2=104  3=108,12,1=100  2=104  3=108,1=1 31=1 6001=1 6002=2,,-156,45,,
10103,1,广宗之战,“人公将军”张梁！,10102,2,1,csv/scene/PT/0103.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,166,张梁,2,1,3,0,9999,14,1=100  2=104  3=108,14,1=100  2=104  3=108,1=1 31=1 6001=2 6002=1,,46,-75,,
10104,1,曲阳之战,“地公将军”张宝！,10103,3,1,csv/scene/PT/0104.csv,2,resource/bg/TianYe_1.jpg,resource/bg/TianYe_2.jpg,resource/bg/TianYe_3.jpg,1,201,张宝,2,1,3,0,9999,16,1=100  2=104  3=108,16,1=100  2=104  3=108,2=1 31=1 6002=1 6003=2,,284,-13,,
10105,1,巨鹿之战,苍天已死，黄天当立！“天公将军”张角！凤珠，究竟在哪里？,10104,3,5,csv/scene/PT/0105.csv,3,resource/bg/ShuLin_1.jpg,resource/bg/ShuLin_2.jpg,resource/bg/ShuLin_3.jpg,1,151,张角,3,1,3,0,9999,20,1=100  2=104  3=108,20,1=100  2=104  3=108,3001=1 6003=1 6004=2,,367,163,,
10201,1,桃园结义1,桃园之内，英雄结义，生死与共！,10105,4,5,csv/scene/PT/0201.csv,2,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,19,刘备,1,1,3,0,9999,22,1=100  2=104  3=108,22,1=100  2=104  3=108,1=1 31=1 6003=2 6001=1,,-396,-131,,
10202,1,桃园结义2,桃园之内，英雄结义，生死与共！,10201,4,5,csv/scene/PT/0202.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,1,张飞,1,1,3,0,9999,24,1=100  2=104  3=108,24,1=100  2=104  3=108,3053=1 1=1 31=1 6004=2 6002=1,,-348,109,,
10203,1,桃园结义3,桃园之内，英雄结义，生死与共！,10202,5,5,csv/scene/PT/0203.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,2,1,3,0,9999,26,1=100  2=104  3=108,26,1=100  2=104  3=108,1=1 31=1 6001=1 6005=2,,-238,-48,,
10204,1,散财起兵1,曹操决定起兵，家族好汉纷纷来投,10203,5,5,csv/scene/PT/0204.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,4,夏侯惇,1,1,3,0,9999,28,1=100  2=104  3=108,28,1=100  2=104  3=108,2=1 31=1 6002=2 6005=1,,-50,-96,,
10205,1,散财起兵2,曹操决定起兵，家族好汉纷纷来投,10204,5,7,csv/scene/PT/0205.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,41,夏侯渊,1,1,3,0,9999,30,1=100  2=104  3=108,30,1=100  2=104  3=108,2=1 1=1 31=1 6003=1 6006=2,,-180,161,,
10206,1,散财起兵3,曹操决定起兵，家族好汉纷纷来投,10205,6,7,csv/scene/PT/0206.csv,2,resource/bg/HuLaoGuan_1.jpg,resource/bg/HuLaoGuan_2.jpg,resource/bg/HuLaoGuan_3.jpg,1,13,曹操,2,1,3,0,9999,32,1=100  2=104  3=108,32,1=100  2=104  3=108,3002=1 1=1 31=1 6002=2 6006=1,,-32,126,,
10207,1,江东猛虎1,江东之虎——孙坚！率军出于乱世,10206,6,7,csv/scene/PT/0207.csv,2,resource/bg/HuLaoGuan_1.jpg,resource/bg/HuLaoGuan_2.jpg,resource/bg/HuLaoGuan_3.jpg,1,44,程普,1,1,3,0,9999,34,1=100  2=104  3=108,34,1=100  2=104  3=108,1=1 31=1 6004=1 6007=2,,132,161,,
10208,1,江东猛虎2,江东之虎——孙坚！率军出于乱世,10207,6,7,csv/scene/PT/0208.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,5,孙权,1,1,3,0,9999,36,1=100  2=104  3=108,36,1=100  2=104  3=108,2=1 1=1 31=2 6004=2 6008=1,,352,147,,
10209,1,江东猛虎3,江东之虎——孙坚！率军出于乱世,10208,7,7,csv/scene/PT/0209.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,49,孙坚,2,1,3,0,9999,38,1=100  2=104  3=108,38,1=100  2=104  3=108,3101=1 1=1 6003=2 6007=1,,222,19,,
10210,1,群雄并起,天下群雄并起，究竟谁，才是终结乱世的真正好汉？,10209,7,9,csv/scene/PT/0210.csv,3,resource/bg/ShuLin_1.jpg,resource/bg/ShuLin_2.jpg,resource/bg/ShuLin_3.jpg,1,123,袁绍,3,1,3,0,9999,42,1=100  2=104  3=108,42,1=100  2=104  3=108,3153=1 2=1 31=2 6004=2 6008=1,,334,-94,,
10301,1,董卓乱政1,残暴的董卓，燃烧起了无情的战火，究竟谁可以阻止他,10210,7,9,csv/scene/PT/0301.csv,2,resource/bg/ShuLin_1.jpg,resource/bg/ShuLin_2.jpg,resource/bg/ShuLin_3.jpg,1,98,华雄,1,1,3,0,9999,44,1=100  2=104  3=108,44,1=100  2=104  3=108,,,-395,179,,
10302,1,董卓乱政2,残暴的董卓，燃烧起了无情的战火，究竟谁可以阻止他,10301,7,9,csv/scene/PT/0302.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,58,贾诩,1,1,3,0,9999,46,1=100  2=104  3=108,46,1=100  2=104  3=108,,,-308,21,,
10303,1,董卓乱政3,残暴的董卓，燃烧起了无情的战火，究竟谁可以阻止他,10302,8,9,csv/scene/PT/0303.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,259,董卓,2,1,3,0,9999,48,1=100  2=104  3=108,48,1=100  2=104  3=108,,,-377,-155,,
10304,1,孟德献刀1,孟德借献刀之际，伺机刺杀董卓！,10303,8,9,csv/scene/PT/0304.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,13,曹操,1,1,3,0,9999,50,1=100  2=104  3=108,50,1=100  2=104  3=108,,,-163,-47,,
10305,1,孟德献刀2,孟德借献刀之际，伺机刺杀董卓！,10304,8,10,csv/scene/PT/0305.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,175,陈宫,1,1,3,0,9999,52,1=100  2=104  3=108,52,1=100  2=104  3=108,,,-3,74,,
10306,1,孟德献刀3,孟德借献刀之际，伺机刺杀董卓！,10305,8,10,csv/scene/PT/0306.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,259,董卓,2,1,3,0,9999,54,1=100  2=104  3=108,54,1=100  2=104  3=108,,,-37,-155,,
10307,1,江东之虎1,孙坚势如破竹，作为先锋官讨伐董卓！,10306,9,10,csv/scene/PT/0307.csv,2,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,49,孙坚,1,1,3,0,9999,56,1=100  2=104  3=108,56,1=100  2=104  3=108,,,135,-132,,
10308,1,江东之虎2,孙坚势如破竹，作为先锋官讨伐董卓！,10307,9,10,csv/scene/PT/0308.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,37,孙策,1,1,3,0,9999,58,1=100  2=104  3=108,58,1=100  2=104  3=108,,,245,8,,
10309,1,江东之虎3,孙坚势如破竹，作为先锋官讨伐董卓！,10308,9,10,csv/scene/PT/0309.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,5,孙权,2,1,3,0,9999,60,1=100  2=104  3=108,60,1=100  2=104  3=108,,,143,154,,
10310,1,联军会盟,十八路诸侯联合起来讨伐董卓，能否成功在于今朝！,10309,9,11,csv/scene/PT/0310.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,123,袁绍,3,1,3,0,9999,64,1=100  2=104  3=108,64,1=100  2=104  3=108,,,348,160,,
10401,1,南蛮起兵,天下动乱，南蛮王孟获睥睨中原！,10310,10,11,csv/scene/PT/0401.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,68,孟获,1,1,3,0,9999,67,1=100  2=104  3=108,67,1=100  2=104  3=108,,,-353,-120,,
10402,1,温酒斩华雄1,董卓手下大将华雄扬威耀武，如何逾越他，讨伐董卓？,10401,10,11,csv/scene/PT/0402.csv,2,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,135,李傕,1,1,3,0,9999,70,1=100  2=104  3=108,70,1=100  2=104  3=108,,,-173,-65,,
10403,1,温酒斩华雄2,董卓手下大将华雄扬威耀武，如何逾越他，讨伐董卓？,10402,10,12,csv/scene/PT/0403.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,98,华雄,2,1,3,0,9999,73,1=100  2=104  3=108,73,1=100  2=104  3=108,,,-250,107,,
10404,1,虎牢关1,虎牢险隘，天下无双的吕布亲自镇守，是进？还是退？,10403,10,12,csv/scene/PT/0404.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,176,高顺,1,1,3,0,9999,76,1=100  2=104  3=108,76,1=100  2=104  3=108,,,-381,181,,
10405,1,虎牢关2,虎牢险隘，天下无双的吕布亲自镇守，是进？还是退？,10404,10,12,csv/scene/PT/0405.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,18,张辽,1,1,3,0,9999,79,1=100  2=104  3=108,79,1=100  2=104  3=108,,,-85,158,,
10406,1,虎牢关3,虎牢险隘，天下无双的吕布亲自镇守，是进？还是退？,10405,11,12,csv/scene/PT/0406.csv,2,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,176,高顺,2,1,3,0,9999,82,1=100  2=104  3=108,82,1=100  2=104  3=108,,,-16,-21,,
10407,1,美人计1,自古英雄难过美人关，董卓和吕布，究竟该如何收场？,10406,11,12,csv/scene/PT/0407.csv,2,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,259,董卓,1,1,3,0,9999,85,1=100  2=104  3=108,85,1=100  2=104  3=108,,,90,136,,
10408,1,美人计2,自古英雄难过美人关，董卓和吕布，究竟该如何收场？,10407,11,13,csv/scene/PT/0408.csv,2,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,14,吕布,1,1,3,0,9999,88,1=100  2=104  3=108,88,1=100  2=104  3=108,,,199,0,,
10409,1,美人计3,自古英雄难过美人关，董卓和吕布，究竟该如何收场？,10408,11,13,csv/scene/PT/0409.csv,2,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,21,貂蝉,2,1,3,0,9999,91,1=100  2=104  3=108,91,1=100  2=104  3=108,,,320,-135,,
10410,1,董卓之死,吕布已经答应作为内应，万事俱备，只欠取下董卓狗头！,10409,11,14,csv/scene/PT/0410.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,259,董卓,3,1,3,0,9999,96,1=100  2=104  3=108,96,1=100  2=104  3=108,,,319,160,,
10501,1,西凉崛起1,西凉军趁乱进犯中原，究竟是凶是吉，谁又能知道。,10410,11,14,csv/scene/PT/0501.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,35,王异,1,1,3,0,9999,99,1=100  2=104  3=108,99,1=100  2=104  3=108,,,-381,173,,
10502,1,西凉崛起2,西凉军趁乱进犯中原，究竟是凶是吉，谁又能知道。,10501,12,14,csv/scene/PT/0502.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,17,马超,1,1,3,0,9999,102,1=100  2=104  3=108,102,1=100  2=104  3=108,,,-262,30,,
10503,1,西凉崛起3,西凉军趁乱进犯中原，究竟是凶是吉，谁又能知道。,10502,12,14,csv/scene/PT/0503.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,17,马超,2,1,3,0,9999,105,1=100  2=104  3=108,105,1=100  2=104  3=108,,,-340,-132,,
10504,1,界桥之战1,袁绍亲自率领大军，意图打垮公孙瓒，评定后患,10503,12,14,csv/scene/PT/0504.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,42,文丑,1,1,3,0,9999,108,1=100  2=104  3=108,108,1=100  2=104  3=108,,,-123,-111,,
