副本ID,怪物ID,掉落描述,掉落物品名称,道具掉落
,,,,位置=0=不显示 位置=1=第一个位置 位置=2=第二个位置 位置=3=第三个位置
,产生掉落的关卡里对应的怪物（即在改怪物死亡后，多加一个客户端掉落宝物的显示）,掉落描述，可能到时需要在UI显示,备注名,道具id=掉落次数=每次概率=位置
,,,,
10101,,初战黄巾,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3001=1=15=0
10102,,颍川之战,程远志,2=1=20=0 1=1=25=0 31=2=50=0 3002=1=15=0 6001=1=75=1
10103,,广宗之战,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3151=1=15=0 6001=2=75=1 6002=2=75=2
10104,,曲阳之战,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3053=1=15=0 6002=1=75=1
10105,,巨鹿之战,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3051=1=15=0 6003=2=75=1 6004=2=75=2
10201,,桃园结义1,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3052=1=15=0 6003=1=75=1
10202,,桃园结义2,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3101=1=15=0 6004=1=75=1
10203,,桃园结义3,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3002=1=15=0 6001=1=75=1 6005=1=75=2
10204,,散财起兵1,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3152=1=15=0 6005=1=75=1
10205,,散财起兵2,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3051=1=15=0 6006=1=75=1
10206,,散财起兵3,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3102=1=15=0 6002=1=75=1 6006=1=75=2
10207,,江东猛虎1,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3052=1=15=0 6007=1=75=1
10208,,江东猛虎2,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3103=1=15=0 6008=1=75=1
10209,,江东猛虎3,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3003=1=15=0 6003=1=75=1 6007=1=75=2
10210,,群雄并起,普掉,2=1=20=0 1=1=25=0 31=2=50=0 3001=1=15=0 6004=1=75=1 6008=1=75=2
10301,,董卓乱政1,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3003=1=15=0 6021=1=40=1
10302,,董卓乱政2,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3153=1=15=0 6022=1=40=1
10303,,董卓乱政3,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3005=1=15=0 6021=1=40=1 6029=1=40=2 6001=1=75=3
10304,,孟德献刀1,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3101=1=15=0 6023=1=40=1
10305,,孟德献刀2,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3153=1=15=0 6024=1=40=1
10306,,孟德献刀3,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3002=1=15=0 6022=1=40=1 6030=1=40=2 6005=1=75=3
10307,,江东之虎1,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3153=1=15=0 6025=1=40=1
10308,,江东之虎2,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3103=1=15=0 6026=1=40=1
10309,,江东之虎3,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3153=1=15=0 6023=1=40=1 6031=1=40=2 6002=1=75=3
10310,,联军会盟,普掉,2=1=24=0 1=1=56=0 31=2=50=0 3003=1=15=0 6024=1=40=1 6032=1=40=2 6006=1=75=3
10401,,南蛮起兵,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3004=1=15=0 6027=1=40=1
10402,,温酒斩华雄1,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3001=1=15=0 6028=1=40=1
10403,,温酒斩华雄2,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3052=1=15=0 6025=1=40=1 6033=1=40=2 6003=1=75=3
10404,,虎牢关1,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3153=1=15=0 6029=1=40=1
10405,,虎牢关2,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3005=1=15=0 6030=1=40=1
10406,,虎牢关3,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3053=1=15=0 6026=1=40=1 6034=1=40=2 6007=1=75=3
10407,,美人计1,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3152=1=15=0 6031=1=40=1
10408,,美人计2,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3152=1=15=0 6032=1=40=1
10409,,美人计3,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3151=1=15=0 6027=1=40=1 6035=1=40=2 6004=1=75=3
10410,,董卓之死,普掉,2=1=28=0 1=1=52=0 31=2=50=0 3151=1=15=0 6028=1=40=1 6036=1=40=2 6008=1=75=3
10501,,西凉崛起1,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3051=1=15=0 6033=1=35=1
10502,,西凉崛起2,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3152=1=15=0 6034=1=35=1
10503,,西凉崛起3,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3153=1=15=0 6051=1=35=1 6055=1=35=2 6021=1=20=3
10504,,界桥之战1,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3103=1=15=0 6035=1=35=1
10505,,界桥之战2,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3053=1=15=0 6036=1=35=1
10506,,界桥之战3,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3053=1=15=0 6052=1=35=1 6056=1=35=2 6029=1=20=3
10507,,白马义从1,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3151=1=15=0 6051=1=35=1
10508,,白马义从2,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3005=1=15=0 6052=1=35=1
10509,,白马义从3,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3053=1=15=0 6053=1=35=1 6057=1=35=2 6022=1=20=3
10510,,青州大练兵,普掉,2=1=32=0 1=1=48=0 31=2=50=0 3053=1=15=0 6054=1=35=1 6058=1=35=2 6030=1=20=3
10601,,袭衮州1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3101=1=15=0 6053=1=35=1
10602,,袭衮州2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3052=1=15=0 6054=1=35=1
10603,,袭衮州3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3051=1=15=0 6055=1=35=1 6051=1=35=2 6023=1=20=3
10604,,火烧濮阳1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3003=1=15=0 6055=1=35=1
10605,,火烧濮阳2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6056=1=35=1
10606,,火烧濮阳3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3003=1=15=0 6056=1=35=1 6052=1=35=2 6031=1=20=3
10607,,张绣降曹1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3103=1=15=0 6057=1=35=1
10608,,张绣降曹2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3005=1=15=0 6058=1=35=1
