邮件ID,标题,正文,日期,道具,金钱,元宝,战功
,,,,,,,
,,html路径,,道具类型=ID=数量 道具类型=ID=数量,,,
,,,,,,,
11,大将军战场奖励,txt/email/pvp_1.txt,,602=200 601=50000 603=8000,,,
12,骠骑将军战场奖励,txt/email/pvp_2.txt,,602=180 601=40000 603=7000,,,
13,车骑将军战场奖励,txt/email/pvp_3.txt,,602=150 601=30000 603=6000,,,
14,卫将军战场奖励,txt/email/pvp_4.txt,,602=120 601=25000 603=5500,,,
15,征东将军战场奖励,txt/email/pvp_5.txt,,602=100 601=20000 603=5000,,,
16,征南将军战场奖励,txt/email/pvp_6.txt,,602=80 601=15000 603=4500,,,
17,征西将军战场奖励,txt/email/pvp_7.txt,,602=60 601=12000 603=4000,,,
18,征北将军战场奖励,txt/email/pvp_8.txt,,602=50 601=10000 603=3500,,,
19,镇东将军战场奖励,txt/email/pvp_9.txt,,602=40 601=8000 603=3000,,,
20,镇南将军战场奖励,txt/email/pvp_10.txt,,602=30 601=6000 603=2500,,,
21,镇西将军战场奖励,txt/email/pvp_11.txt,,602=25 601=4000 603=2000,,,
22,镇北将军战场奖励,txt/email/pvp_12.txt,,602=20 601=2000 603=1500,,,
,,,,,,,
31,过关斩将排名奖励,txt/email/tower_1.txt,,602=200 601=50000 606=5000,,,
32,过关斩将排名奖励,txt/email/tower_2.txt,,602=180 601=40000 606=4500,,,
33,过关斩将排名奖励,txt/email/tower_3.txt,,602=150 601=30000 606=4000,,,
34,过关斩将排名奖励,txt/email/tower_4.txt,,602=120 601=25000 606=3500,,,
35,过关斩将排名奖励,txt/email/tower_5.txt,,602=100 601=20000 606=3000,,,
36,过关斩将排名奖励,txt/email/tower_6.txt,,602=80 601=15000 606=2500,,,
37,过关斩将排名奖励,txt/email/tower_7.txt,,602=60 601=10000 606=2000,,,
38,过关斩将排名奖励,txt/email/tower_8.txt,,602=40 601=8000 606=1500,,,
39,过关斩将排名奖励,txt/email/tower_9.txt,,602=25 601=5000 606=1000,,,
,,,,,,,
,,,,,,,
999,竞技场最好名次晋升奖励,txt/email/pvpjsjl.txt,,,,,
,,,,,,,
,,,,,,,
,疯狂练级送豪礼,txt/email/rank_level_1.txt,,2020=30 601=50000 602=500,,,
,疯狂练级送豪礼,txt/email/rank_level_2.txt,,2020=26 601=40000 602=400,,,
,疯狂练级送豪礼,txt/email/rank_level_3.txt,,2020=24 601=30000 602=300,,,
,疯狂练级送豪礼,txt/email/rank_level_4.txt,,2020=20 601=20000 602=200,,,
,疯狂练级送豪礼,txt/email/rank_level_5.txt,,2020=18 601=20000 602=200,,,
,疯狂练级送豪礼,txt/email/rank_level_6.txt,,2020=16 601=20000 602=200,,,
,,,,,,,
,战场乱斗送豪礼,txt/email/rank_pvp_1.txt,,2022=30 601=50000 602=500,,,
,战场乱斗送豪礼,txt/email/rank_pvp_2.txt,,2022=26 601=40000 602=400,,,
,战场乱斗送豪礼,txt/email/rank_pvp_3.txt,,2022=24 601=30000 602=300,,,
,战场乱斗送豪礼,txt/email/rank_pvp_4.txt,,2022=20 601=20000 602=200,,,
,战场乱斗送豪礼,txt/email/rank_pvp_5.txt,,2022=18 601=20000 602=200,,,
,战场乱斗送豪礼,txt/email/rank_pvp_6.txt,,2022=16 601=20000 602=200,,,
,,,,,,,
,过关斩将送豪礼,txt/email/rank_tower_1.txt,,2009=30 601=50000 602=500,,,
,过关斩将送豪礼,txt/email/rank_tower_2.txt,,2009=26 601=40000 602=400,,,
,过关斩将送豪礼,txt/email/rank_tower_3.txt,,2009=24 601=30000 602=300,,,
,过关斩将送豪礼,txt/email/rank_tower_4.txt,,2009=20 601=20000 602=200,,,
,过关斩将送豪礼,txt/email/rank_tower_5.txt,,2009=18 601=20000 602=200,,,
,过关斩将送豪礼,txt/email/rank_tower_6.txt,,2009=16 601=20000 602=200,,,
,,,,,,,
,,,,,,,
,封测首日礼包,txt/email/logingift_1.txt,2014/11/13,602=500 701=1,,,
,封测次日礼包,txt/email/logingift_2.txt,2014/11/14,602=1000 701=1,,,
,封测三日礼包,txt/email/logingift_3.txt,2014/11/15,602=1000 701=1,,,
,封测四日礼包,txt/email/logingift_4.txt,2014/11/16,602=500 701=1,,,
,封测五日礼包,txt/email/logingift_5.txt,2014/11/17,602=500 701=1,,,
,封测六日礼包,txt/email/logingift_6.txt,2014/11/18,602=500 701=1,,,
,封测七日礼包,txt/email/logingift_7.txt,2014/11/19,602=1000 701=1,,,
,封测八日礼包,txt/email/logingift_8.txt,2014/11/20,602=500 701=1,,,
,封测九日礼包,txt/email/logingift_9.txt,2014/11/21,602=500 701=1,,,
,封测十日礼包,txt/email/logingift_10.txt,2014/11/22,602=500 701=1,,,
,,,,,,,
,VIP礼包赠送,txt/email/vip_01.txt,2014/11/13,5001=1,,,
,VIP礼包赠送,txt/email/vip_02.txt,2014/11/14,5002=1 5003=1,,,
,VIP礼包赠送,txt/email/vip_03.txt,2014/11/15,5004=1,,,
,VIP礼包赠送,txt/email/vip_04.txt,2014/11/16,5005=1,,,
,VIP礼包赠送,txt/email/vip_05.txt,2014/11/17,5006=1,,,
,VIP礼包赠送,txt/email/vip_06.txt,2014/11/18,5007=1,,,
,VIP礼包赠送,txt/email/vip_07.txt,2014/11/19,5008=1 5009=1,,,
,VIP礼包赠送,txt/email/vip_08.txt,2014/11/20,5010=1,,,
,VIP礼包赠送,txt/email/vip_09.txt,2014/11/21,5011=1,,,
,VIP礼包赠送,txt/email/vip_10.txt,2014/11/22,5012=1,,,
