id,名称,部位,星级,情缘武将,套装id,属性,需要碎片数量,碎片id,经验,进化经验
,,1=武器 2=衣服 3=帽子 4=鞋子 5=兵书 6=坐骑,,,,1=生命 2=攻击 3=防御 4=闪避 5=命中 6=格挡 7=破击 8=暴击 9=韧性 10=爆伤 11=抵抗 12=移动速度 13=攻击速度,,,,
,,,,武将id1 武将id2 武将id3……,,属性类别=初始值=成长值（可多个效果）,,,,
1,流星锤,1,2,,,2=130=6.49,5,4001,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
2,狼牙棒,1,2,,,2=118=5.91,5,4002,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
3,铁鞭,1,2,,,2=123=6.17,5,4003,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
4,虎筋弦弓,1,2,,,2=115=5.75,5,4004,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
5,鹊画弓,1,2,,,2=113=5.63,5,4005,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
6,诸葛连弩,1,3,74,,2=194=9.7,5,4006,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
7,七星宝刀,1,3,259,,2=205=10.26,5,4007,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
8,双铁戟,1,3,,,2=214=10.7,5,4008,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
9,火云刀,1,3,53,,2=203=10.16,5,4009,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
10,古锭刀,1,3,49 6,,2=195=9.76,5,4010,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
11,固陵刀,1,3,176 44,,2=190=9.51,5,4011,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
12,三尖两刃刀,1,3,43,,2=211=10.54,5,4012,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
13,七星剑,1,3,35,,2=211=10.53,5,4013,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
14,八卦剑,1,3,12 175,,2=220=10.99,5,4014,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
15,豪风蓝凤杖,1,3,26 153,,2=215=10.76,5,4015,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
16,牡丹玉琵琶,1,3,25 31,,2=204=10.18,5,4016,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
17,贯石斧,1,3,69 98,,2=191=9.53,5,4017,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
18,宝雕弓,1,3,41,,2=200=9.99,5,4018,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
19,青龙偃月刀,1,4,15,,2=364=18.21,20,4019,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
20,丈八蛇矛,1,4,1 55,,2=358=17.88,20,4020,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
21,青釭剑,1,4,109,,2=353=17.66,20,4021,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
22,方天画戟,1,4,14,,2=388=19.42,20,4022,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
23,龙胆亮银枪,1,4,16,,2=355=17.74,20,4023,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
24,虎头湛金枪,1,4,18 17,,2=349=17.44,20,4024,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
25,龙凤双股剑,1,4,19 11,,2=367=18.34,20,4025,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
26,朱雀羽扇,1,4,7 9,,2=382=19.12,20,4026,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
27,养由基弓,1,4,22,,2=333=16.67,20,4027,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
28,倚天剑,1,4,13 66,,2=371=18.57,20,4028,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
29,百鸟朝凰枪,1,4,40,,2=363=18.14,20,4029,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
30,天师符,1,4,58 60 151,,2=359=17.96,20,4030,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
31,麒麟弓,1,4,152 65 64,,2=366=18.3,20,4031,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
32,亢龙锏,1,4,123 70,,2=385=19.27,20,4032,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
,,,,,,,,,,
51,轩宇甲,2,2,,,3=132=6.6,5,4051,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
52,锦绣袍,2,2,,,3=125=6.25,5,4052,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
53,藤甲,2,2,,,3=137=6.85,5,4053,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
54,百兽甲,2,3,,,3=231=11.55,5,4054,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
55,雁翎甲,2,3,,,3=237=11.85,5,4055,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
56,亮银铠,2,3,,,3=220=11,5,4056,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
57,磐石铠,2,3,,,3=226=11.3,5,4057,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
58,霓虹羽衣,2,3,152,,3=242=12.1,5,4058,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
60,太平道袍,2,3,151,,3=240=12,5,4060,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
61,连环甲,2,3,109 70,,3=222=11.1,5,4061,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
62,红龙鳞甲,2,4,1 123,,3=383=19.17,20,4062,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
63,浑天宝甲,2,4,15 259,,3=408=20.41,20,4063,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
64,烈火金尘,2,4,22 11 26,,3=413=20.65,20,4064,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
65,镏金五彩衣,2,4,21 23 31,,3=426=21.29,20,4065,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
66,狂龙火胄,2,4,37 68 53,,3=368=18.38,20,4066,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
67,黄金锁子甲,2,4,51 13 44,,3=367=18.36,20,4067,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
68,八宝连环甲,2,4,4 6,,3=395=19.74,20,4068,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
69,亮银狮子铠,2,4,16 69,,3=377=18.84,20,4069,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
70,五龙盘珠铠,2,4,42,,3=395=19.77,20,4070,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
71,双龙珍珠甲,2,4,36 18 28,,3=389=19.46,20,4071,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
72,北地苍狼甲,2,4,65 66,,3=396=19.79,20,4072,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
73,鹤氅,2,4,20 9 188,,3=375=18.77,20,4073,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
74,仁王盾,2,4,45 176 71,,3=421=21.03,20,4074,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
75,紫金百花袍,2,4,12 2 25,,3=416=20.78,20,4075,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
,,,,,,,,,,
101,香麝头巾,3,2,,,1=288=14.4,5,4101,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
102,旋光铁盔,3,2,,,1=313=15.65,5,4102,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
103,镔铁冠,3,2,,,1=300=15,5,4103,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
104,牛魔面甲,3,3,68,,1=506=25.3,5,4104,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
105,雁回金盔,3,3,,,1=529=26.45,5,4105,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
106,飞骑翔盔,3,3,,,1=535=26.75,5,4106,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
107,琉璃紫冠,3,3,28 21,,1=548=27.4,5,4107,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
109,宝马灵盔,3,3,,,1=557=27.85,5,4109,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
110,束发紫金冠,3,4,23 14,,1=918=45.9,20,4110,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
111,狂战面甲,3,4,42 98,,1=900=45,20,4111,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
112,金龙云盔,3,4,45 74,,1=898=44.9,20,4112,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
113,青龙碧玉冠,3,4,5 175,,1=934=46.7,20,4113,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
114,裂天凤纹盔,3,4,111 17,,1=872=43.6,20,4114,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
115,虚空纶巾,3,4,2 188,,1=888=44.4,20,4115,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
116,无双鬼才冠,3,4,7 58,,1=936=46.8,20,4116,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
117,鎏金盔,3,4,71 37 50,,1=864=43.2,20,4117,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
,,,,,,,,,,
