name,value,comment,,,
怒气CD,3000,单位：毫秒,,,
初始怒气,2,初始2格怒气,,,
击杀怒气,0.75,单位：格（怒气）,,,
阶段怒气,2.5,单位：格（怒气）,,,
暂停战斗,0,0=不暂停，1=暂停,,,
继承怒气,1,0=不继承，1=集成,,,
可移动优先,1,0=可攻击优先于可移动，1=可移动优先于可攻击,,,
技能CD,12000,单位：毫秒,,,
自动战斗检测CD,6000,单位：毫秒,,,
关卡阶段回复血量,10,百分比,,,
受击失血下限,25,百分比,,,
k1,1,,,,
k2,1,,,,
k3,1,,,,
闪避率下限,50,千分之,,,
闪避率上限,950,千分之,,,
格挡率下限,50,千分之,,,
格挡率上限,950,千分之,,,
暴击率下限,50,千分之,,,
暴击率上限,1000,千分之,,,
进化等级激活被动技能1,1,进化等级=1时激活被动技能1,,,
进化等级激活被动技能2,3,进化等级=3时激活被动技能2,,,
进化等级激活被动技能3,6,进化等级=6时激活被动技能3,,,
好友奖励友情值,20,友情值点数,,,
路人奖励友情值,10,友情值点数,,,
好友助战时间间隔,6,小时,,,
路人助战时间间隔,24,小时,,,
路人等级差下限,5,路人等级>=玩家等级-5，且>=1,,,
路人等级差上限,10,路人等级<=玩家等级+10,,,
等级差范围扩大,5,路人等级差下限-5，路人等级差上限+5，扩大范围,,,
传奇副本免费刷新次数,0,送给玩家每天的传奇副本免费刷新次数,,,
传奇副本挑战次数,2,随vip等级增加,,,
传奇副本购买次数上限,0,随vip等级增加,,,
科技洗点消耗元宝数,200,科技洗点需要一次性消耗的元宝数,,,
美人品德系数,1,每点品德为所有武将增加1的生命,,,
美人才艺系数,0.25,每点才艺为所有武将增加0.25的攻击,,,
美人美色系数,0.4,每点美色为所有武将增加0.3的防御,,,
技能升级金币,1=1000 2=5000 3=10000,升级次数=金币数,,,
PVP胜利奖励,2,胭脂数量，用于美人的参悟,,,
PVP胜利奖励,1,胭脂数量，用于美人的参悟,,,
单次扫荡CD,1,分钟,,,
强化金币经验比值,22,金币量 = 经验量 * 比值,,,
武将出售经验单价,12,金币量 = 经验量 * 比值,,,
每日战场初始次数,5,每日初始化5次，随vip等级增加,,,
每日战场初始购买次数上限,0,每日可购买1次，随vip等级增加,,,
升级体力回复量,12,该值回复不会超出上限,,,
战斗最大时长,120,单位：秒,,,
金钱副本次数,2,日次数限制,,,
经验副本次数,2,日次数限制,,,
特殊副本CD,10,特殊副本的冷却时间，单位分钟,,,
金钱副本开放,1=2=3=4=5=6=7,星期,,,
经验副本开放,1=2=3=4=5=6=7,星期,,,
武将包购买次数上限,20,,,,
精英购买挑战次数价格,0=0=20 1=2=50 3=999=100,,,,
招财暴击,1=810 2=120 3=50 10=20,,,,
等级上限,75,,,,
装备强化暴击,1=800 2=200 3=100,强化升级等级数=权值,,,
商店2刷新副本条件,30=132,副本id = 万分之,,,1.25天1次
商店3刷新副本条件,40=40,副本id = 万分之,,,4天1次
体力最终上限,500,,,,
出塞等级条件,20,武将卡小于该等级无法进入出塞,,,
出塞星级条件,1,武将卡小于该品质无法进入出塞,,,
生命价值,1,,,,
攻击价值,12.1,,,,
防御价值,4.9,,,,
必杀技实力系数,1.5,,,,
必杀技实力成长系数,0.125,,,,
被动技实力系数,0.08,,,,
被动技实力成长系数,0.004,,,,
命中价值,0.0008,,,,
闪避价值,0.001,,,,
破击价值,0.0008,,,,
暴击价值,0.0005,,,,
抵抗价值,0.001,,,,
体力经验比,8,消耗1点体力玩家经验提升量,,,
装备进化单价,256,进化提升一点经验所需的费用,,,
装备进化实力系数,1=1.05 2=1.11 3=1.18 4=1.26 5=1.35 6=1.46 7=1.58 8=1.71 9=1.85 10=2,各个进化等级装备的实力系数,,,
武将升星实力系数,1=1 2=1.25 3=1.65 4=2.25 5=3,星级=实力系数,,,
武将升星碎片量,1=10 2=20 3=50 4=100 5=150,到目标星级=所需碎片量,,,
武将升星价格,2=10000 3=50000 4=200000 5=800000,到目标星级=所需银币量,,,
武将碎片将魂比,128,1个碎片可以分解得到多少个魂,,,
武将分解碎片量,1=7 2=18 3=30 4=50 5=80 ,当已有武将时，自动分解获得的数量,,,
首充奖励,1021=1 3107=1 601=100000 3=5,,,,
基金购买,999,,,,
基金购买等级,15,,,,
爬塔开箱价格,1=0 2=20 3=50 4=100,,,,
世界聊天次数限制,20,,,,
聊天等级限制,20,,,,
战场晋升邮件id,999,,,,
神将价格,300,神将抽一次的价格,,,
