等级,所需经验
,
1,0
2,8
3,10
4,12
5,18
6,24
7,35
8,49
9,68
10,84
11,114
12,149
13,197
14,240
15,275
16,330
17,369
18,411
19,455
20,500
21,530
22,613
23,718
24,870
25,1048
26,1263
27,1519
28,1818
29,2190
30,2592
31,3047
32,3532
33,4046
34,4632
35,5206
36,5810
37,6442
38,7104
39,7915
40,8641
41,9417
42,10222
43,11057
44,12121
45,13110
46,14135
47,15324
48,16558
49,18088
50,19423
51,21373
52,23398
53,25498
54,28078
55,30814
56,33658
57,37288
58,41062
59,45547
60,49645
61,53887
62,59827
63,65983
64,73290
65,80225
66,87414
67,94854
68,102545
69,111739
70,119998
71,128509
72,137272
73,146287
74,157342
75,167398
76,177742
77,188374
78,199294
79,215872
80,233098
81,250972
82,269494
83,288664
84,305034
85,319595
86,334482
87,349692
88,365225
89,384310
90,400573
91,417160
92,434071
93,451306
94,472497
95,490460
96,508749
97,523486
98,538385
99,553447
100,568670
