将星点ID,将星点名称,类型ID,阵营ID,属性ID,属性名,属性值,消耗,银币消耗,x坐标,y坐标,,
,,1=青龙，2=白虎，3=朱雀，4=玄武，5=天狼,1=群，2=魏，3=蜀，4=吴,,,固定值,星魂数,银币消耗量,k3-480,640-l3-320,,
101,青龙一_1,1,1,1,生命,120,1,50,-345,-140,135,440
102,青龙一_2,1,2,2,攻击,30,2,75,-295,0,185,300
103,青龙一_3,1,3,3,防御,46,3,96,-175,-115,305,415
104,青龙一_4,1,4,1,生命,120,4,115,-215,45,265,255
105,青龙一_5,1,1,2,攻击,30,5,132,-90,110,390,150
106,青龙一_6,1,2,3,防御,46,6,148,-80,-10,400,310
107,青龙一_7,1,3,1,生命,120,7,163,0,-140,480,440
108,青龙一_8,1,4,2,攻击,30,9,177,110,-65,590,365
109,青龙一_9,1,1,3,防御,46,10,190,75,80,555,220
110,青龙一_10,1,2,1,生命,120,11,203,215,-65,695,365
111,青龙一_11,1,3,2,攻击,30,13,216,230,60,710,240
112,青龙一_12,1,4,3,防御,46,14,229,350,-70,830,370
201,白虎一_1,2,1,1,生命,120,16,241,-345,-140,135,440
202,白虎一_2,2,2,2,攻击,30,17,253,-295,0,185,300
203,白虎一_3,2,3,3,防御,46,19,264,-175,-115,305,415
204,白虎一_4,2,4,1,生命,120,20,276,-215,45,265,255
205,白虎一_5,2,1,2,攻击,30,22,287,-90,110,390,150
206,白虎一_6,2,2,3,防御,46,23,298,-80,-10,400,310
207,白虎一_7,2,3,1,生命,120,25,310,0,-140,480,440
208,白虎一_8,2,4,2,攻击,30,27,321,110,-65,590,365
209,白虎一_9,2,1,3,防御,46,28,332,75,80,555,220
210,白虎一_10,2,2,1,生命,120,30,342,215,-65,695,365
211,白虎一_11,2,3,2,攻击,30,32,353,230,60,710,240
212,白虎一_12,2,4,3,防御,46,34,364,350,-70,830,370
301,朱雀一_1,3,1,1,生命,120,36,375,-345,-140,135,440
302,朱雀一_2,3,2,2,攻击,30,38,385,-295,0,185,300
303,朱雀一_3,3,3,3,防御,46,40,396,-175,-115,305,415
304,朱雀一_4,3,4,1,生命,120,42,406,-215,45,265,255
305,朱雀一_5,3,1,2,攻击,30,44,417,-90,110,390,150
306,朱雀一_6,3,2,3,防御,46,46,427,-80,-10,400,310
307,朱雀一_7,3,3,1,生命,120,48,438,0,-140,480,440
308,朱雀一_8,3,4,2,攻击,30,50,448,110,-65,590,365
309,朱雀一_9,3,1,3,防御,46,52,459,75,80,555,220
310,朱雀一_10,3,2,1,生命,120,54,469,215,-65,695,365
311,朱雀一_11,3,3,2,攻击,30,56,480,230,60,710,240
312,朱雀一_12,3,4,3,防御,46,59,491,350,-70,830,370
401,玄武一_1,4,1,1,生命,120,61,501,-345,-140,135,440
402,玄武一_2,4,2,2,攻击,30,63,512,-295,0,185,300
403,玄武一_3,4,3,3,防御,46,66,522,-175,-115,305,415
404,玄武一_4,4,4,1,生命,120,68,533,-215,45,265,255
405,玄武一_5,4,1,2,攻击,30,71,543,-90,110,390,150
