道具ID,道具名称,道具说明,星级,道具类型,礼包掉落ID,随机道具,金币,元宝,卡牌,装备,装备碎片,经验,战功,声望,将魂,体力,好感度,使用类型,开放等级,道具icon,道具资源,可堆叠,堆叠上限,权值,内含道具,元宝价格,银币价格,产地,产出描述1,产出副本1,产出关卡1,产出描述2,产出副本2,产出关卡2,产出描述3,产出副本3,产出关卡3,产出描述4,产出副本4,产出关卡4,产出描述5,产出副本5,产出关卡5,产出描述6,产出副本6,产出关卡6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1=碎片卡掉落包，2=金币，3=元宝，4=体力，5=战场次数，6=精英副本次数，7=武将卡牌，8=武将碎片，9=技能，10=令牌（产自副本，用于科技系统），11=星魂（产自刷塔，用于将星系统），12=将魂（产自碎片分解，用于传奇副本），13=胭脂（产自PVP战场，用于美人参悟），14=武将进化材料，15=美人宠幸材料，17=刷新商店道具 18=美人突破道具 19=道具集合包 20=随机碎片箱子 21=随机道具箱子 22=战功 23=技能进化道具 24=装备 25=装备碎片 26=声望 27=提升武将经验道具 28=无用道具,,,,,,,,,,,,,美人宠幸材料,默认空=0=可使用，1=不可使用,默认=0=无等级限制，自然数=达到该等级才可使用,路径,路径,默认空=0=不可堆叠，1=可堆叠,,,道具id=数量,,,"1=商城；2=将魂商店；3=武将碎片宝箱；4=普通副本；5=精英副本；6=名将；7=过关斩将；8=战功商店；9=商城抽卡,10=地狱副本，11=声望商店,12=试练副本",,,,,,,,,,,,,,,,,,
,,,,,一个或多个ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,初级经验药,使用后提升指定武将50点经验。,1,27,,,,,,,,50,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,9999,,,,5,,,,,,,,,,,,,,,,,,,
2,中级经验药,使用后提升指定武将200点经验。,2,27,,,,,,,,200,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,9999,,,,20,,,,,,,,,,,,,,,,,,,
3,高级经验药,使用后提升指定武将1000点经验。,3,27,,,,,,,,1000,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,9999,,,,100,,,,,,,,,,,,,,,,,,,
4,特级经验药,使用后提升指定武将5000点经验。,4,27,,,,,,,,5000,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,9999,,,,500,,,,,,,,,,,,,,,,,,,
5,超级经验药,使用后提升指定武将50000点经验。,5,27,,,,,,,,50000,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,9999,,,,20000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,iphone6,出售可获得5288游戏币。,3,28,,,,,,,,,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,999,,,,5288,,,,,,,,,,,,,,,,,,,
7,浙A牌照,出售可获得20000游戏币。,4,28,,,,,,,,,,,,,,,,resource/icon/evolution/JinJieDan.png,,1,999,,,,20000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
