渠道ID,兑换码,礼包ID
,,item表id
0,XS25A33S87,5021
0,XS35D29O65,5021
0,XS52F96I47,5021
0,XS11G92T75,5021
0,XS25I17Q65,5021
0,XS67X28K18,5021
0,XS84N65I13,5021
0,XS61G12S96,5021
0,XS22I62H67,5021
0,XS93H25Q23,5021
0,XS91N35Z34,5021
0,XS45E57P45,5021
0,XS37B62U72,5021
0,XS92M84E35,5021
0,XS34Q17G75,5021
0,XS71M84X26,5021
0,XS79X47G56,5021
0,XS21H48O13,5021
0,XS71C87T83,5021
0,XS82Y72K21,5021
0,XS46F42I22,5021
0,XS73T59A65,5021
0,XS13F93O93,5021
0,XS47O56A12,5021
0,XS18N38T71,5021
0,XS18U69Q32,5021
0,XS21G66V99,5021
0,XS26J67I15,5021
0,XS95R89T25,5021
0,XS57L43W61,5021
0,XS36B57M72,5021
0,XS38E38U33,5021
0,XS96T25T67,5021
0,XS41N45T21,5021
0,XS97W46W95,5021
0,XS38F17C66,5021
0,XS62Z69J32,5021
0,XS52J29C96,5021
0,XS66F84W58,5021
0,XS98U12Y47,5021
0,XS54P78C55,5021
0,XS12K33O92,5021
0,XS54O59T49,5021
0,XS13I52K99,5021
0,XS28G99Q39,5021
0,XS26A84R93,5021
0,XS41N56B83,5021
0,XS77N41R81,5021
0,XS39U59S53,5021
0,XS52R25I79,5021
0,XS29X63V24,5021
0,XS71G63E87,5021
0,XS93X89E11,5021
0,XS84E57M89,5021
0,XS56Z23H44,5021
0,XS46P99F92,5021
0,XS98O46B28,5021
0,XS47N21M58,5021
0,XS91Y42N35,5021
0,XS14C12T72,5021
0,XS15O96K28,5021
0,XS36S77I92,5021
0,XS54L54F18,5021
0,XS34D14M32,5021
0,XS93L18K55,5021
0,XS11G51S49,5021
0,XS56W59K12,5021
0,XS83W17L83,5021
0,XS93F32K42,5021
0,XS85Z78S45,5021
0,XS32N24T47,5021
0,XS92E67R35,5021
0,XS99A32D91,5021
0,XS34C12B49,5021
0,XS48Z28X14,5021
0,XS72Q91H11,5021
0,XS43R46Q59,5021
0,XS47K59C54,5021
0,XS33P37P77,5021
0,XS29T15A43,5021
0,XS21E49Q35,5021
0,XS77F66F79,5021
0,XS49S97H35,5021
0,XS19B38C91,5021
0,XS72S14T66,5021
0,XS72H62J47,5021
0,XS76Z42N87,5021
0,XS68J81B86,5021
0,XS25I63X31,5021
0,XS28S69B39,5021
0,XS51E69X44,5021
0,XS77C97G72,5021
0,XS88E85N24,5021
0,XS89A17R65,5021
0,XS95D38X37,5021
0,XS15T28T25,5021
0,XS95Y58B46,5021
0,XS96R88Q39,5021
0,XS57W21E86,5021
0,XS76G62X17,5021
0,XS46F24V25,5021
0,XS24A47S37,5021
0,XS89O89V84,5021
0,XS58N25A28,5021
0,XS94X55P68,5021
0,XS94Q19T84,5021
0,XS37U38G32,5021
0,XS36Q41Z58,5021
0,XS46I85E88,5021
0,XS56G22X77,5021
0,XS24V88E63,5021
0,XS39M69W97,5021
0,XS78I38L28,5021
0,XS12Q15T24,5021
0,XS94I86T38,5021
0,XS27P73P45,5021
0,XS12V48J38,5021
0,XS34E77K64,5021
0,XS55H35O73,5021
0,XS24Y64Y97,5021
0,XS79G98A88,5021
0,XS16I18W91,5021
0,XS66O64Q54,5021
0,XS32O52Z76,5021
0,XS75V29F42,5021
0,XS32H13P77,5021
0,XS64H37S25,5021
0,XS56B18A78,5021
0,XS49H73C22,5021
0,XS93N17C45,5021
0,XS91J24U64,5021
0,XS51N67W48,5021
0,XS31P26L78,5021
0,XS28R73M39,5021
0,XS31I59C78,5021
0,XS42Z48P15,5021
0,XS28T59N24,5021
0,XS87Q89G97,5021
0,XS53K55S16,5021
0,XS36W89F88,5021
0,XS77J27M34,5021
0,XS72C21Y53,5021
0,XS25E15A77,5021
0,XS59P92R83,5021
0,XS71V84B36,5021
0,XS81O42E54,5021
0,XS66L98R12,5021
0,XS47Y45C78,5021
0,XS33U96X95,5021
0,XS41G44I63,5021
0,XS99S31N89,5021
0,XS94Y44F83,5021
0,XS15I56R28,5021
0,XS48Q93A52,5021
0,XS62L54C76,5021
0,XS87L34I67,5021
0,XS45L67V55,5021
0,XS32E53W49,5021
0,XS45G24V35,5021
0,XS11S19Y48,5021
0,XS32X83J65,5021
0,XS43P23T89,5021
0,XS38C65J34,5021
0,XS65P61O88,5021
0,XS62B54A67,5021
0,XS74T69J12,5021
0,XS74D64O69,5021
0,XS39H95M71,5021
0,XS57B53O66,5021
0,XS48K48M36,5021
0,XS74A26N98,5021
0,XS18F68G23,5021
0,XS46G72T46,5021
0,XS25I17Y51,5021
0,XS66H46F51,5021
0,XS68J85D84,5021
0,XS73S48Z96,5021
0,XS69Z45Y17,5021
0,XS35J82Z39,5021
0,XS79V61L62,5021
0,XS95Z41X92,5021
0,XS54S25J25,5021
0,XS87H89E86,5021
0,XS56F23E64,5021
0,XS12N14N74,5021
0,XS11T55Z24,5021
0,XS55P58S26,5021
0,XS62N51J62,5021
0,XS78B66I36,5021
0,XS19L16P92,5021
0,XS55P69D37,5021
0,XS68V24I63,5021
0,XS78Q16O23,5021
0,XS58X45P61,5021
0,XS67H69Y52,5021
0,XS85F74E62,5021
0,XS87O77M51,5021
0,XS26W23C39,5021
0,XS68R24M42,5021
0,XS35T33F27,5021
0,XS46C17J26,5021
0,XS91S53O48,5021
0,XS47G73R28,5021
0,XS26F99Z95,5021
0,XS15E17D24,5021
0,XS66M28H24,5021
0,XS32M36I66,5021
0,XS36C39A57,5021
0,XS12S63G49,5021
0,XS39Y86C38,5021
0,XS16T76X74,5021
0,XS89I63U83,5021
0,XS79Y21K14,5021
0,XS79E51U51,5021
0,XS98L83N73,5021
0,XS68N57N23,5021
0,XS38P84E16,5021
0,XS64U89X37,5021
0,XS77Z58D38,5021
0,XS83I53Z33,5021
0,XS21P76P49,5021
0,XS97L54S57,5021
0,XS18P33K55,5021
0,XS54S58P17,5021
0,XS52Z27O77,5021
0,XS67S76E53,5021
0,XS39X72M59,5021
0,XS66N46Y58,5021
0,XS41A89K93,5021
0,XS95L55F59,5021
0,XS48K32S57,5021
0,XS32I98A66,5021
0,XS77D51X58,5021
0,XS53L31Y51,5021
0,XS73N79H85,5021
0,XS66P26T91,5021
0,XS29P43H37,5021
0,XS18Q66G51,5021
0,XS57J94H95,5021
0,XS75R91Y16,5021
0,XS18T62G26,5021
0,XS38T33B67,5021
0,XS53S29Z96,5021
0,XS75B63Z27,5021
0,XS45M11N31,5021
0,XS88D52M62,5021
0,XS36P21F23,5021
0,XS87C26G93,5021
0,XS54M61X42,5021
0,XS22Q83C29,5021
0,XS21T65H61,5021
0,XS19Q93R85,5021
0,XS62O36E39,5021
0,XS68U67Z18,5021
0,XS27L46J85,5021
0,XS51J41V28,5021
0,XS31Q43B48,5021
0,XS45I27Q24,5021
0,XS65P38O19,5021
0,XS35R38B57,5021
0,XS75P82P61,5021
0,XS58Z97M44,5021
0,XS77O11M55,5021
0,XS73N53A83,5021
0,XS85S71K24,5021
0,XS93T62A17,5021
0,XS88D33N44,5021
0,XS85X42O71,5021
0,XS38L18Z99,5021
0,XS46C14O84,5021
0,XS22V31Q62,5021
0,XS42V36X17,5021
0,XS86L22M21,5021
0,XS74N94Z22,5021
0,XS51C69W98,5021
0,XS93L82S16,5021
0,XS28N16O54,5021
0,XS45J88B77,5021
0,XS78H39A41,5021
0,XS76W74Z72,5021
0,XS39H74X55,5021
0,XS78B88K53,5021
0,XS66U42R61,5021
0,XS37M73J57,5021
0,XS33L74P38,5021
0,XS71Z76T29,5021
0,XS22Z94C29,5021
0,XS93Y68P96,5021
0,XS21L95C53,5021
0,XS19A79E23,5021
0,XS36K89M61,5021
0,XS15C81F44,5021
0,XS79C64Z43,5021
0,XS42G62J14,5021
0,XS87U49Y48,5021
0,XS42O95K52,5021
0,XS11N96K13,5021
0,XS92D31A45,5021
0,XS42S93R38,5021
0,XS39O11O22,5021
0,XS42G52E86,5021
0,XS24Q43L73,5021
0,XS55T61U27,5021
0,XS35M22J91,5021
0,XS39J48J94,5021
0,XS18C49M89,5021
0,XS89M21T87,5021
0,XS58O47T22,5021
0,XS93H46D51,5021
0,XS27Z93W31,5021
0,XS71V62H72,5021
0,XS34F39A52,5021
0,XS78S51S95,5021
0,XS36S83P71,5021
0,XS73B54B36,5021
