登入天数,道具名称,道具掉落
,登录第七天送5星武将郭女王!,
,,"IF(D5="""","""",CONCATENATE(D5,""="",E5))&"" ""&IF(F5="""","""",CONCATENATE(F5,""="",G5))&"" ""&IF(H5="""","""",CONCATENATE(H5,""="",I5))&"" ""&IF(J5="""","""",CONCATENATE(J5,""="",K5))"
1,登录第1天,602=200 52=2
2,登录第2天,1023=1 52=2 3201=1
3,登录第3天,3062=1 52=2 88=1
4,登录第4天,19=2 52=2 88=1
5,登录第5天,602=200 52=2 88=1
6,登录第6天,19=3 52=2 88=1
7,登录第7天,2023=50 52=2 88=1
8,登录第8天,602=200 52=2 88=1
9,登录第9天,4030=2 52=2 88=1
10,登录第10天,13=2 52=2 88=1
11,登录第11天,602=300 52=2 87=1
12,登录第12天,4074=2 52=2 87=1
13,登录第13天,14=2 52=2 87=1
14,登录第14天,602=200 52=2 87=1
15,登录第15天,4020=2 52=2 87=1
16,登录第16天,15=2 52=2 87=1
17,登录第17天,602=200 52=2 87=1
18,登录第18天,4019=2 52=2 87=1
19,登录第19天,16=2 52=2 87=1
20,登录第20天,602=300 52=2 87=1
21,登录第21天,4021=2 52=2 86=1
22,登录第22天,17=2 52=2 86=1
23,登录第23天,602=200 52=2 86=1
24,登录第24天,4023=2 52=2 86=1
25,登录第25天,18=2 52=2 86=1
26,登录第26天,602=200 52=2 86=1
27,登录第27天,4031=2 52=2 86=1
28,登录第28天,19=2 52=2 86=1
29,登录第29天,4022=2 52=2 86=1
30,登录第30天,602=300 52=2 86=1
