形容词ID,形容词,姓氏ID,姓氏,名字ID,名字,
,,,,,,26103*100
1,高大的,1,张,1,飞,
2,温柔的,2,周,2,瑜,
3,内向的,3,许,3,褚,
4,腼腆的,4,夏侯,4,惇,
5,害羞的,5,孙,5,权,
6,多疑的,6,甘,6,宁,
7,直率的,7,郭,7,嘉,
8,活泼的,8,陆,8,逊,
9,开朗的,9,诸葛,9,亮,
10,可笑的,10,司马,10,懿,
11,滑稽的,11,孙尚,11,香,
12,古怪的,12,黄,12,月英,
13,怪异的,13,曹,13,布,
14,狭隘的,14,吕,14,羽,
15,博爱的,15,关,15,云,
16,宽容的,16,赵,16,超,
17,多情的,17,马,17,辽,
18,冷淡的,18,刘,18,备,
19,热情的,19,左,19,慈,
20,放浪的,20,貂,20,蝉,
21,拘谨的,21,华,21,佗,
22,谨慎的,22,小,22,乔,
23,严格的,23,甄,23,姬,
24,严厉的,24,蔡,24,文姬,
25,凶残的,25,大,25,昭,
26,无情的,26,步,26,练师,
27,懦弱的,27,辛,27,师,
28,好色的,28,王,28,夫人,
29,飘逸的,29,姜,29,宪英,
30,圣洁的,30,乐,30,春华,
31,纯洁的,31,文,31,云禄,
32,清纯的,32,纪,32,异,
33,可爱的,33,程,33,元姬,
34,贤惠的,34,颜,34,策,
35,威猛的,35,鲁,35,维,
36,仁慈的,36,祝融,36,进,
37,老实的,37,鲍,37,绣,
38,木讷的,38,荀,38,渊,
39,慷慨的,39,贾,39,丑,
40,大方的,40,徐,40,灵,
41,暴躁的,41,庞,41,普,
42,忠诚的,42,凌,42,仁,
43,扛刀的,43,韩,43,郃,
44,磨刀的,44,太史,44,兴,
45,挨刀的,45,于,45,苞,
46,怂包的,46,孟,46,坚,
47,英武的,47,魏,47,良,
48,英明的,48,典,48,蒙,
49,昏庸的,49,法,49,肃,
50,风流的,50,穆,50,银屏,
51,威武的,51,敬哀,51,星彩,
52,雄壮的,52,卞,52,三娘,
53,委婉的,53,陈,53,彧,
54,帅气的,54,李,54,诩,
55,傲慢的,55,邓,55,庶,
56,倔强的,56,糜,56,统,
57,脆弱的,57,杨,57,鲁班,
58,乐观的,58,孔,58,当,
59,爽朗的,59,祢,59,忠,
60,豪放的,60,杜,60,禁,
61,勇敢的,61,樊,61,抗,
62,体贴的,62,丁,62,获,
63,固执的,63,简,63,晃,
64,开明的,64,袁,64,延,
65,怕死的,65,公孙,65,泰,
66,八卦的,66,蒋,66,盖,
67,八婆的,67,宋,67,韦,
68,伟大的,68,沙,68,丕,
69,贪心的,69,吴,69,正,
70,快活的,70,羊,70,皇后,
71,浪漫的,71,邹,71,彰,
72,无脑的,72,潘,72,腾,
73,荒唐的,73,钟,73,汜,
74,离谱的,74,廖,74,谡,
75,负心的,75,花,75,索,
76,有情的,76,顾,76,范,
77,妩媚的,77,兀突,77,武,
78,乖巧的,78,祖,78,登,
79,轻狂的,79,皇甫,79,淮,
80,外向的,80,董,80,双,
81,温婉的,81,臧,81,德,
82,可人的,82,朱,82,艾,
83,岸然的,83,高,83,仓,
84,憨厚的,84,麴,84,到,
85,忠实的,85,淳于,85,平,
86,诚恳的,86,骆,86,岱,
87,聪明的,87,蒯,87,雄,
