敏感字ID,敏感字,级别
,,1=版署基本字库；2=游戏必有字库；3=组合字；4=非法字符；5=NPC名字
1,，,4
2,。,4
3,、,4
4,；,4
5,‘,4
6,【,4
7,】,4
8,-,4
9,=,4
10,·,4
11,《,4
12,》,4
13,？,4
14,：,4
15,“,4
16,｛,4
17,｝,4
18,——,4
19,—,4
20,+,4
21,~,4
22,！,4
23,@,4
24,#,4
25,￥,4
26,%,4
27,……,4
28,…,4
29,&,4
30,（,4
31,）,4
32,",",4
33,.,4
34,;,4
35,[,4
36,],4
37,`,4
38,!,4
39,$,4
40,^,4
41,*,4
42,(,4
43,),4
44,张飞,5
45,周瑜,5
46,许褚,5
47,夏侯惇,5
48,孙权,5
49,甘宁,5
50,郭嘉,5
51,陆逊,5
52,诸葛亮,5
53,司马懿,5
54,孙尚香,5
55,黄月英,5
56,曹操,5
57,吕布,5
58,关羽,5
59,赵云,5
60,马超,5
61,张辽,5
62,刘备,5
63,左慈,5
64,貂蝉,5
65,华佗,5
66,小乔,5
67,甄姬,5
68,蔡文姬,5
69,大乔,5
70,张昭,5
71,步练师,5
72,司马昭,5
73,司马师,5
74,甘夫人,5
75,辛宪英,5
76,张春华,5
77,马云禄,5
78,王异,5
79,王元姬,5
80,孙策,5
81,姜维,5
82,乐进,5
83,张绣,5
84,夏侯渊,5
85,文丑,5
86,纪灵,5
87,程普,5
88,曹仁,5
89,张郃,5
90,关兴,5
91,张苞,5
92,孙坚,5
93,颜良,5
94,吕蒙,5
95,鲁肃,5
96,祝融夫人,5
97,关银屏,5
98,张星彩,5
99,鲍三娘,5
100,荀彧,5
101,贾诩,5
102,徐庶,5
103,庞统,5
104,凌统,5
105,孙鲁班,5
106,韩当,5
107,太史慈,5
108,黄忠,5
109,于禁,5
110,陆抗,5
111,孟获,5
112,徐晃,5
113,魏延,5
114,周泰,5
115,黄盖,5
116,典韦,5
117,曹丕,5
118,法正,5
119,穆皇后,5
120,敬哀皇后,5
121,卞夫人,5
122,曹彰,5
123,马腾,5
124,郭汜,5
125,马良,5
126,马谡,5
127,关索,5
128,马忠,5
129,吕范,5
130,陈武,5
131,陈登,5
132,郭淮,5
133,王双,5
134,李异,5
135,庞德,5
136,邓艾,5
137,周仓,5
138,陈到,5
139,关平,5
140,马岱,5
141,华雄,5
142,糜夫人,5
143,杨修,5
144,孔融,5
145,祢衡,5
146,杨仪,5
147,杜氏,5
148,樊氏,5
149,蔡氏,5
150,丁夫人,5
151,简雍,5
152,李典,5
153,袁术,5
154,公孙瓒,5
155,蒋钦,5
156,徐盛,5
157,丁奉,5
158,宋谦,5
159,沙摩柯,5
160,吴国太,5
161,羊徽瑜,5
162,夏侯徽,5
163,邹氏,5
164,曹洪,5
165,曹昂,5
166,袁绍,5
167,邓芝,5
168,刘禅,5
169,吕岱,5
170,潘璋,5
171,夏侯霸,5
172,孙乾,5
173,蒋琬,5
174,钟会,5
175,廖化,5
176,华歆,5
177,文钦,5
178,李傕,5
179,文鸯,5
180,文聘,5
181,蔡瑁,5
182,张燕,5
183,韩浩,5
184,花蔓,5
185,吕玲绮,5
186,太史昭容,5
187,顾雍,5
188,诸葛瑾,5
189,荀攸,5
190,程昱,5
191,曹植,5
192,许攸,5
193,李严,5
194,张角,5
195,郭女王,5
196,诸葛果,5
197,文蕊,5
198,糜竺,5
199,蒋干,5
200,兀突骨,5
201,祖茂,5
202,皇甫嵩,5
203,陈琳,5
204,张松,5
205,孙翊,5
206,孙韶,5
207,陈表,5
208,董允,5
209,张梁,5
210,韩德,5
211,臧霸,5
212,陈纪,5
213,韩猛,5
214,黄祖,5
215,刘璋,5
216,孙桓,5
217,朱异,5
218,陈宫,5
219,高顺,5
220,麴义,5
221,张勋,5
222,高览,5
223,淳于琼,5
224,曹真,5
225,韩遂,5
226,骆统,5
227,朱然,5
228,蒯越,5
229,董昭,5
230,陈群,5
231,田丰,5
232,费祎,5
233,郭攸之,5
234,孙峻,5
235,董袭,5
236,司马徽,5
237,沮授,5
238,曹休,5
239,曹爽,5
240,曹睿,5
241,刘封,5
242,张鲁,5
243,张允,5
244,张宝,5
245,刘表,5
246,朱桓,5
247,曹纯,5
248,夏侯尚,5
249,张任,5
250,严颜,5
251,木鹿大王,5
252,苏飞,5
253,王粲,5
254,蒯良,5
255,带来洞主,5
256,孟优,5
257,朵思大王,5
258,车胄,5
259,程银,5
260,成宜,5
261,雷薄,5
262,陈兰,5
263,孟坦,5
264,孟达,5
265,马玩,5
266,糜芳,5
267,孙河,5
268,韩福,5
269,秦琪,5
270,金环三节,5
271,刘琦,5
272,韩玄,5
273,金旋,5
274,袁耀,5
275,孙静,5
276,全琮,5
277,刘琮,5
278,杨弘,5
279,孙綝,5
280,卞喜,5
281,董荼那,5
282,阿会喃,5
283,傅士仁,5
284,侯选,5
285,张横,5
286,袁胤,5
287,阎象,5
288,田楷,5
289,孙匡,5
290,孙瑜,5
291,孔秀,5
292,王植,5
293,忙牙长,5
294,严纲,5
295,胡车儿,5
296,梁兴,5
297,杨秋,5
298,李堪,5
299,桥蕤,5
300,乐就,5
301,韩胤,5
302,董卓,5
303,陶谦,5
304,于毒,5
305,白绕,5
306,眭固,5
307,程远志,5
308,刘虞,5
309,刘岱,5
310,刘繇,5
311,严白虎,5
312,王朗,5
313,刘勋,5
314,曹节,5
