id,名次上限,名次下限,获得金钱,金钱星级修正,获得经验,经验星级修正,获得战功,战功星级修正,道具奖励
,,,,,,,,,道具id=数量=概率
1,1,10,1000,0=80 1=100 2=110 3=120,40,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=22 82=1=38 81=1=100
2,11,50,800,0=80 1=100 2=110 3=120,38,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=20 82=1=36 81=1=100
3,51,100,600,0=80 1=100 2=110 3=120,36,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=18 82=1=34 81=1=100
4,101,200,500,0=80 1=100 2=110 3=120,34,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=16 82=1=32 81=1=100
5,201,500,450,0=80 1=100 2=110 3=120,32,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=14 82=1=30 81=1=100
6,501,1000,400,0=80 1=100 2=110 3=120,30,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=12 82=1=28 81=1=100
7,1001,5000,350,0=80 1=100 2=110 3=120,28,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=10 82=1=26 81=1=95
8,5001,10000,300,0=80 1=100 2=110 3=120,26,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=8 82=1=24 81=1=90
9,10001,100000,250,0=80 1=100 2=110 3=120,24,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=6 82=1=22 81=1=85
10,100001,1000000,200,0=80 1=100 2=110 3=120,22,0=80 1=100 2=110 3=120,20,0=25 1=50 2=75 3=100,83=1=4 82=1=20 81=1=80
