段位id,称号,奖励描述,排名上限,排名下限,道具ID,金钱,元宝,战功,其它道具ID,邮件id,空白
,,1块钱 = 100点战功=100个将魂,,,,,,,道具id=数量,,
1,大将军,,1,1,,50000,200,8000,,11,
2,骠骑将军,,2,2,,40000,180,7000,,12,
3,车骑将军,,3,3,,30000,150,6000,,13,
4,卫将军,,4,10,,25000,120,5500,,14,
5,征东将军,,11,20,,20000,100,5000,,15,
6,征南将军,,21,50,,15000,80,4500,,16,
7,征西将军,,51,100,,12000,60,4000,,17,
8,征北将军,,101,200,,10000,50,3500,,18,
9,镇东将军,,201,500,,8000,40,3000,,19,
10,镇南将军,,501,1000,,6000,30,2500,,20,
11,镇西将军,,1001,5000,,4000,25,2000,,21,
12,镇北将军,,5001,,,2000,20,1500,,22,
