id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,520,甄家家丁,,,,,,,1,600,100,100,0,0,0,0,250,0,100,,,,,1,,,
2,1,2,520,甄家家丁,,,,,,,1,600,100,100,0,0,0,0,250,0,100,,,,,1,,,
3,2,1,521,甄家家丁,,,,,,,1,600,100,100,0,0,0,0,250,0,100,,,,,1,,,
4,2,2,521,甄家家丁,,,,,,,1,600,100,100,0,0,0,0,250,0,100,,,,,1,,,
5,3,1,530,甄家管家,,,,,,,3,600,100,100,0,0,0,0,250,0,100,,,,,1,,,
6,3,2,,,,,,,,,,,,,,0,,,,,,,,,,1,,,
7,1,1,522,糜家家丁,,,,,,,1,1200,100,100,0,0,0,0,250,0,100,,,,,2,,,
8,1,2,522,糜家家丁,,,,,,,1,1200,100,100,0,0,0,0,250,0,100,,,,,2,,,
9,2,1,523,糜家家丁,,,,,,,1,1200,100,100,0,0,0,0,250,0,100,,,,,2,,,
10,2,2,523,糜家家丁,,,,,,,1,1200,100,100,0,0,0,0,250,0,100,,,,,2,,,
11,3,1,531,糜家管家,,,,,,,3,1200,100,100,0,0,0,0,250,0,100,,,,,2,,,
12,3,2,,,,,,,,,,,,,,0,,,,,,,,,,2,,,
13,1,1,524,秦家家丁,,,,,,,1,2000,100,100,0,0,0,0,250,0,100,,,,,3,,,
14,1,2,524,秦家家丁,,,,,,,1,2000,100,100,0,0,0,0,250,0,100,,,,,3,,,
15,2,1,525,秦家家丁,,,,,,,1,2000,100,100,0,0,0,0,250,0,100,,,,,3,,,
16,2,2,525,秦家家丁,,,,,,,1,2000,100,100,0,0,0,0,250,0,100,,,,,3,,,
17,3,1,532,秦家管家,,,,,,,3,2000,100,100,0,0,0,0,250,0,100,,,,,3,,,
18,3,2,,,,,,,,,,,,,,0,,,,,,,,,,3,,,
19,1,1,526,鲁家家丁,,,,,,,1,3200,100,100,0,0,0,0,250,0,100,,,,,4,,,
20,1,2,526,鲁家家丁,,,,,,,1,3200,100,100,0,0,0,0,250,0,100,,,,,4,,,
21,2,1,527,鲁家家丁,,,,,,,1,3200,100,100,0,0,0,0,250,0,100,,,,,4,,,
22,2,2,527,鲁家家丁,,,,,,,1,3200,100,100,0,0,0,0,250,0,100,,,,,4,,,
23,3,1,533,鲁家管家,,,,,,,3,3200,100,100,0,0,0,0,250,0,100,,,,,4,,,
24,3,2,,,,,,,,,,,,,,0,,,,,,,,,,4,,,
25,1,1,528,马家家丁,,,,,,,1,4800,100,100,0,0,0,0,250,0,100,,,,,5,,,
26,1,2,528,马家家丁,,,,,,,1,4800,100,100,0,0,0,0,250,0,100,,,,,5,,,
27,2,1,529,马家家丁,,,,,,,1,4800,100,100,0,0,0,0,250,0,100,,,,,5,,,
28,2,2,529,马家家丁,,,,,,,1,4800,100,100,0,0,0,0,250,0,100,,,,,5,,,
29,3,1,534,马家管家,,1,,,,,3,4800,100,100,0,0,0,0,250,0,100,,,,,5,,,
30,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,
