技能ID,技能名称,技能描述,辅助描述,技能星级,可升等级,消耗,攻击次数,作用范围类型,作用对象,作用中心横坐标,作用对象职业,作用对象阵营,作用对象属性,效果阵营覆盖,阵营覆盖成长,效果职业覆盖,职业覆盖成长,二级属性临时变更,临时变更成长,攻击系数,攻击系数成长,攻击常数,攻击常数成长,中毒系数,中毒系数成长,中毒常数,中毒常数成长,持续时间,伤害次数,无视防御,催眠,催眠成长,吸血百分比,吸血成长,攻击偷取,攻击偷取成长,增加怒气消耗,增加怒气消耗成长,怒气值增加,怒气值增加成长,伤害类型,伤害效果成长,驱散debuff,技能子弹,BUFF ID,技能展示图片,技能音效,技能icon,技能卡牌资源
,,,,,,,,,,,,,,1=群，2=魏，3=蜀，4=吴,,1~6=职业ID,,,,,,,,,,,,,,,,,,,,,,,,,空表示普通，1表示残血秒杀型 2表示跟自身血量有关,,1表示起效，0或者空表示不起效,,,,,,
,,二十四个字啊二十四个字啊二十四个字啊二十四个字啊,,暂无，预留,,施放技能消耗的怒气值,,1=单体，2=x轴直线飞行，3=y轴纵向攻击，4=全体，5=前2排，6=后2排,1=敌方，2=自己，3=己方包括自己,默认空=0=全部位置=跳过判断，1=己方/敌方第一个目标，2=己方/敌方第二个目标，3=己方/敌方第三个目标，4=敌方最后一个目标/己方第一个目标（x轴坐标最大的那个）；同行优先,默认空=0=all=跳过判断，1~6=职业ID,默认空=0=all=跳过判断，1=群，2=魏，3=蜀，4=吴,默认空=0=全属性=跳过判断，1=攻击力最高，2=生命值最低，3=防御力最高，4=随机1个目标,1=1.8,,2=1.6,,1=命中，2=破击，3=暴击，4=爆伤,,系数带两位小数；武将“攻击力“x攻击系数；攻击系数不为负；默认空为没有攻击伤害；,,攻击力*攻击系数+攻击常数；攻击常数不为负；默认空为没有攻击伤害；,,正数为中毒BUFF，负数为加血BUFF；默认空为没有中毒/加血BUFF；,,正数为中毒BUFF，负数为加血BUFF；默认空为没有中毒/加血BUFF；,,默认空=0=不持续；单位毫秒；持续时间内子弹的持续动作帧循环播放,非持续型技能只伤害1次,默认空=0=考虑防御，1=无视防御（攻击系数为负时无视防御）,,,默认空=0=不吸血；吸血量=技能伤害*吸血百分比,,,,,,,,,,,bullet.csv配表中的ID,id,战斗时在技能栏里显示的动画,技能释放时的音效,资源路径,资源路径
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,火烧连营,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,0,,0.6,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,52,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
2,火烧连营,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,0,,0.6,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
3,凤雏天翔,对敌方攻击力最高的将领造成%.1f%%的伤害，且对敌人攻击弱化6%%，持续3秒。,1=288=7.2,,20,2,1,4,1,,,,1,,,,,0,,2.85,0.072,,,0,0,,,0,0,,0,,,,,,,,,,,,,110,,resource/skill_info_pic/81.png,,resource/icon/skill/skill_icon.png,
4,掠江劲弓,对生命最低的敌方单体目标造成%.1f%%的伤害。,1=345=8.625,,20,2,1,4,1,,,,1,,,,,0,,2.85,0.08625,,,0,0,,,0,0,,0,,,,,,,,,,,,,125,,resource/skill_info_pic/26.png,,resource/icon/skill/skill_icon.png,
5,神周瑜技能,,,,20,4,3,4,1,,,,,,,,,0,,5,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,216,,resource/skill_info_pic/sizhou.png,,resource/icon/skill/19.png,
6,冰箭,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,0,,0.6,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,53,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
7,闪电,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,0,,0.6,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,205,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
8,黄风,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,0,,0.6,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,128,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
9,无双,对全体敌方武将造成%.1f%%攻击的伤害。,1=128=3.2,,20,2,1,4,1,,,,,,,,,0,,1.28,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,175,,resource/skill_info_pic/47.png,,resource/icon/skill/11.png,
10,雄略,己方全体将领提升%.1f%%的攻击，且吴国将领额外提升%.1f%%的攻击，持续5秒。,1=24=0.6 2=12=0.3,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,207,31,resource/skill_info_pic/85.png,,resource/icon/skill/37.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
