技能id,等级,需要材料,需要银币,需求等级,
,,item表id = 数量,,,
11,1,31=1,0,0,0
11,2,31=2,500,6,500
11,3,31=3,1000,10,1000
11,4,31=4,2000,15,2000
11,5,31=5,4000,20,4000
11,6,32=6,8000,25,8000
11,7,32=8,10000,30,10000
11,8,32=10,12000,35,12000
11,9,32=12,14000,40,14000
11,10,32=14,16000,45,16000
11,11,33=17,32000,50,32000
11,12,33=20,36000,55,36000
11,13,33=23,40000,60,40000
11,14,33=26,44000,65,44000
11,15,33=30,48000,70,48000
11,16,34=34,96000,75,96000
11,17,34=38,104000,80,104000
11,18,34=42,112000,85,112000
11,19,34=46,120000,90,120000
11,20,34=50,128000,95,128000
12,1,31=1,0,0,0
12,2,31=2,500,6,500
12,3,31=3,1000,10,1000
12,4,31=4,2000,15,2000
12,5,31=5,4000,20,4000
12,6,32=6,8000,25,8000
12,7,32=8,10000,30,10000
12,8,32=10,12000,35,12000
12,9,32=12,14000,40,14000
12,10,32=14,16000,45,16000
12,11,33=17,32000,50,32000
12,12,33=20,36000,55,36000
12,13,33=23,40000,60,40000
12,14,33=26,44000,65,44000
12,15,33=30,48000,70,48000
12,16,34=34,96000,75,96000
12,17,34=38,104000,80,104000
12,18,34=42,112000,85,112000
12,19,34=46,120000,90,120000
12,20,34=50,128000,95,128000
13,1,31=1,0,0,0
13,2,31=2,500,6,500
13,3,31=3,1000,10,1000
13,4,31=4,2000,15,2000
13,5,31=5,4000,20,4000
13,6,32=6,8000,25,8000
13,7,32=8,10000,30,10000
13,8,32=10,12000,35,12000
13,9,32=12,14000,40,14000
13,10,32=14,16000,45,16000
13,11,33=17,32000,50,32000
13,12,33=20,36000,55,36000
13,13,33=23,40000,60,40000
13,14,33=26,44000,65,44000
13,15,33=30,48000,70,48000
13,16,34=34,96000,75,96000
13,17,34=38,104000,80,104000
13,18,34=42,112000,85,112000
13,19,34=46,120000,90,120000
13,20,34=50,128000,95,128000
14,1,31=1,0,0,0
14,2,31=2,500,6,500
14,3,31=3,1000,10,1000
14,4,31=4,2000,15,2000
14,5,31=5,4000,20,4000
14,6,32=6,8000,25,8000
14,7,32=8,10000,30,10000
14,8,32=10,12000,35,12000
14,9,32=12,14000,40,14000
14,10,32=14,16000,45,16000
14,11,33=17,32000,50,32000
14,12,33=20,36000,55,36000
14,13,33=23,40000,60,40000
14,14,33=26,44000,65,44000
14,15,33=30,48000,70,48000
14,16,34=34,96000,75,96000
14,17,34=38,104000,80,104000
14,18,34=42,112000,85,112000
14,19,34=46,120000,90,120000
14,20,34=50,128000,95,128000
15,1,31=1,0,0,0
15,2,31=2,500,6,500
15,3,31=3,1000,10,1000
15,4,31=4,2000,15,2000
15,5,31=5,4000,20,4000
15,6,32=6,8000,25,8000
15,7,32=8,10000,30,10000
15,8,32=10,12000,35,12000
15,9,32=12,14000,40,14000
15,10,32=14,16000,45,16000
15,11,33=17,32000,50,32000
15,12,33=20,36000,55,36000
15,13,33=23,40000,60,40000
15,14,33=26,44000,65,44000
15,15,33=30,48000,70,48000
15,16,34=34,96000,75,96000
15,17,34=38,104000,80,104000
15,18,34=42,112000,85,112000
15,19,34=46,120000,90,120000
15,20,34=50,128000,95,128000
16,1,31=1,0,0,0
16,2,31=2,500,6,500
16,3,31=3,1000,10,1000
16,4,31=4,2000,15,2000
16,5,31=5,4000,20,4000
16,6,32=6,8000,25,8000
16,7,32=8,10000,30,10000
16,8,32=10,12000,35,12000
16,9,32=12,14000,40,14000
16,10,32=14,16000,45,16000
16,11,33=17,32000,50,32000
16,12,33=20,36000,55,36000
16,13,33=23,40000,60,40000
16,14,33=26,44000,65,44000
16,15,33=30,48000,70,48000
16,16,34=34,96000,75,96000
16,17,34=38,104000,80,104000
16,18,34=42,112000,85,112000
16,19,34=46,120000,90,120000
16,20,34=50,128000,95,128000
17,1,31=1,0,0,0
17,2,31=2,500,6,500
17,3,31=3,1000,10,1000
17,4,31=4,2000,15,2000
17,5,31=5,4000,20,4000
17,6,32=6,8000,25,8000
17,7,32=8,10000,30,10000
17,8,32=10,12000,35,12000
17,9,32=12,14000,40,14000
17,10,32=14,16000,45,16000
17,11,33=17,32000,50,32000
17,12,33=20,36000,55,36000
17,13,33=23,40000,60,40000
17,14,33=26,44000,65,44000
17,15,33=30,48000,70,48000
17,16,34=34,96000,75,96000
17,17,34=38,104000,80,104000
17,18,34=42,112000,85,112000
17,19,34=46,120000,90,120000
17,20,34=50,128000,95,128000
18,1,31=1,0,0,0
18,2,31=2,500,6,500
18,3,31=3,1000,10,1000
18,4,31=4,2000,15,2000
18,5,31=5,4000,20,4000
18,6,32=6,8000,25,8000
18,7,32=8,10000,30,10000
18,8,32=10,12000,35,12000
18,9,32=12,14000,40,14000
18,10,32=14,16000,45,16000
18,11,33=17,32000,50,32000
18,12,33=20,36000,55,36000
18,13,33=23,40000,60,40000
18,14,33=26,44000,65,44000
18,15,33=30,48000,70,48000
18,16,34=34,96000,75,96000
18,17,34=38,104000,80,104000
18,18,34=42,112000,85,112000
18,19,34=46,120000,90,120000
18,20,34=50,128000,95,128000
19,1,31=1,0,0,0
19,2,31=2,500,6,500
19,3,31=3,1000,10,1000
19,4,31=4,2000,15,2000
19,5,31=5,4000,20,4000
19,6,32=6,8000,25,8000
19,7,32=8,10000,30,10000
19,8,32=10,12000,35,12000
19,9,32=12,14000,40,14000
19,10,32=14,16000,45,16000
19,11,33=17,32000,50,32000
19,12,33=20,36000,55,36000
19,13,33=23,40000,60,40000
19,14,33=26,44000,65,44000
19,15,33=30,48000,70,48000
19,16,34=34,96000,75,96000
19,17,34=38,104000,80,104000
19,18,34=42,112000,85,112000
19,19,34=46,120000,90,120000
19,20,34=50,128000,95,128000
20,1,31=1,0,0,0
20,2,31=2,500,6,500
20,3,31=3,1000,10,1000
20,4,31=4,2000,15,2000
20,5,31=5,4000,20,4000
20,6,32=6,8000,25,8000
20,7,32=8,10000,30,10000
20,8,32=10,12000,35,12000
20,9,32=12,14000,40,14000
20,10,32=14,16000,45,16000
20,11,33=17,32000,50,32000
20,12,33=20,36000,55,36000
20,13,33=23,40000,60,40000
20,14,33=26,44000,65,44000
20,15,33=30,48000,70,48000
20,16,34=34,96000,75,96000
20,17,34=38,104000,80,104000
20,18,34=42,112000,85,112000
20,19,34=46,120000,90,120000
20,20,34=50,128000,95,128000
21,1,31=1,0,0,0
21,2,31=2,500,6,500
21,3,31=3,1000,10,1000
21,4,31=4,2000,15,2000
21,5,31=5,4000,20,4000
21,6,32=6,8000,25,8000
21,7,32=8,10000,30,10000
21,8,32=10,12000,35,12000
21,9,32=12,14000,40,14000
21,10,32=14,16000,45,16000
21,11,33=17,32000,50,32000
21,12,33=20,36000,55,36000
21,13,33=23,40000,60,40000
21,14,33=26,44000,65,44000
21,15,33=30,48000,70,48000
21,16,34=34,96000,75,96000
21,17,34=38,104000,80,104000
21,18,34=42,112000,85,112000
21,19,34=46,120000,90,120000
21,20,34=50,128000,95,128000
22,1,31=1,0,0,0
22,2,31=2,500,6,500
22,3,31=3,1000,10,1000
22,4,31=4,2000,15,2000
22,5,31=5,4000,20,4000
22,6,32=6,8000,25,8000
22,7,32=8,10000,30,10000
22,8,32=10,12000,35,12000
22,9,32=12,14000,40,14000
22,10,32=14,16000,45,16000
22,11,33=17,32000,50,32000
22,12,33=20,36000,55,36000
22,13,33=23,40000,60,40000
22,14,33=26,44000,65,44000
22,15,33=30,48000,70,48000
22,16,34=34,96000,75,96000
22,17,34=38,104000,80,104000
22,18,34=42,112000,85,112000
22,19,34=46,120000,90,120000
22,20,34=50,128000,95,128000
23,1,31=1,0,0,0
23,2,31=2,500,6,500
23,3,31=3,1000,10,1000
23,4,31=4,2000,15,2000
23,5,31=5,4000,20,4000
23,6,32=6,8000,25,8000
23,7,32=8,10000,30,10000
23,8,32=10,12000,35,12000
23,9,32=12,14000,40,14000
23,10,32=14,16000,45,16000
23,11,33=17,32000,50,32000
23,12,33=20,36000,55,36000
23,13,33=23,40000,60,40000
23,14,33=26,44000,65,44000
23,15,33=30,48000,70,48000
23,16,34=34,96000,75,96000
23,17,34=38,104000,80,104000
23,18,34=42,112000,85,112000
23,19,34=46,120000,90,120000
23,20,34=50,128000,95,128000
24,1,31=1,0,0,0
24,2,31=2,500,6,500
24,3,31=3,1000,10,1000
24,4,31=4,2000,15,2000
24,5,31=5,4000,20,4000
24,6,32=6,8000,25,8000
24,7,32=8,10000,30,10000
24,8,32=10,12000,35,12000
24,9,32=12,14000,40,14000
24,10,32=14,16000,45,16000
24,11,33=17,32000,50,32000
24,12,33=20,36000,55,36000
24,13,33=23,40000,60,40000
24,14,33=26,44000,65,44000
24,15,33=30,48000,70,48000
24,16,34=34,96000,75,96000
24,17,34=38,104000,80,104000
24,18,34=42,112000,85,112000
24,19,34=46,120000,90,120000
24,20,34=50,128000,95,128000
25,1,31=1,0,0,0
25,2,31=2,500,6,500
25,3,31=3,1000,10,1000
25,4,31=4,2000,15,2000
25,5,31=5,4000,20,4000
25,6,32=6,8000,25,8000
25,7,32=8,10000,30,10000
