技能id,等级,需要材料,需要银币,需求等级
,,item表id = 数量,,
1,1,31=1,0,0
1,2,31=2,500,6
1,3,31=3,1000,10
1,4,31=4,2000,15
1,5,31=5,4000,20
1,6,32=6,8000,25
1,7,32=8,10000,30
1,8,32=10,12000,35
1,9,32=12,14000,40
1,10,32=14,16000,45
1,11,33=17,32000,50
1,12,33=20,36000,55
1,13,33=23,40000,60
1,14,33=26,44000,65
1,15,33=30,48000,70
1,16,34=34,96000,75
1,17,34=38,104000,80
1,18,34=42,112000,85
1,19,34=46,120000,90
1,20,34=50,128000,95
2,1,31=1,0,0
2,2,31=2,500,6
2,3,31=3,1000,10
2,4,31=4,2000,15
2,5,31=5,4000,20
2,6,32=6,8000,25
2,7,32=8,10000,30
2,8,32=10,12000,35
2,9,32=12,14000,40
2,10,32=14,16000,45
2,11,33=17,32000,50
2,12,33=20,36000,55
2,13,33=23,40000,60
2,14,33=26,44000,65
2,15,33=30,48000,70
2,16,34=34,96000,75
2,17,34=38,104000,80
2,18,34=42,112000,85
2,19,34=46,120000,90
2,20,34=50,128000,95
3,1,31=1,0,0
3,2,31=2,500,6
3,3,31=3,1000,10
3,4,31=4,2000,15
3,5,31=5,4000,20
3,6,32=6,8000,25
3,7,32=8,10000,30
3,8,32=10,12000,35
3,9,32=12,14000,40
3,10,32=14,16000,45
3,11,33=17,32000,50
3,12,33=20,36000,55
3,13,33=23,40000,60
3,14,33=26,44000,65
3,15,33=30,48000,70
3,16,34=34,96000,75
3,17,34=38,104000,80
3,18,34=42,112000,85
3,19,34=46,120000,90
3,20,34=50,128000,95
4,1,31=1,0,0
4,2,31=2,500,6
4,3,31=3,1000,10
4,4,31=4,2000,15
4,5,31=5,4000,20
4,6,32=6,8000,25
4,7,32=8,10000,30
4,8,32=10,12000,35
4,9,32=12,14000,40
4,10,32=14,16000,45
4,11,33=17,32000,50
4,12,33=20,36000,55
4,13,33=23,40000,60
4,14,33=26,44000,65
4,15,33=30,48000,70
4,16,34=34,96000,75
4,17,34=38,104000,80
4,18,34=42,112000,85
4,19,34=46,120000,90
4,20,34=50,128000,95
5,1,31=1,0,0
5,2,31=2,500,6
5,3,31=3,1000,10
5,4,31=4,2000,15
5,5,31=5,4000,20
5,6,32=6,8000,25
5,7,32=8,10000,30
5,8,32=10,12000,35
5,9,32=12,14000,40
5,10,32=14,16000,45
5,11,33=17,32000,50
5,12,33=20,36000,55
5,13,33=23,40000,60
5,14,33=26,44000,65
5,15,33=30,48000,70
5,16,34=34,96000,75
5,17,34=38,104000,80
5,18,34=42,112000,85
5,19,34=46,120000,90
5,20,34=50,128000,95
6,1,31=1,0,0
6,2,31=2,500,6
6,3,31=3,1000,10
6,4,31=4,2000,15
6,5,31=5,4000,20
6,6,32=6,8000,25
6,7,32=8,10000,30
6,8,32=10,12000,35
6,9,32=12,14000,40
6,10,32=14,16000,45
6,11,33=17,32000,50
6,12,33=20,36000,55
6,13,33=23,40000,60
6,14,33=26,44000,65
6,15,33=30,48000,70
6,16,34=34,96000,75
6,17,34=38,104000,80
6,18,34=42,112000,85
6,19,34=46,120000,90
6,20,34=50,128000,95
7,1,31=1,0,0
7,2,31=2,500,6
7,3,31=3,1000,10
7,4,31=4,2000,15
7,5,31=5,4000,20
7,6,32=6,8000,25
7,7,32=8,10000,30
7,8,32=10,12000,35
7,9,32=12,14000,40
7,10,32=14,16000,45
7,11,33=17,32000,50
7,12,33=20,36000,55
7,13,33=23,40000,60
7,14,33=26,44000,65
7,15,33=30,48000,70
7,16,34=34,96000,75
7,17,34=38,104000,80
7,18,34=42,112000,85
7,19,34=46,120000,90
7,20,34=50,128000,95
8,1,31=1,0,0
8,2,31=2,500,6
8,3,31=3,1000,10
8,4,31=4,2000,15
8,5,31=5,4000,20
8,6,32=6,8000,25
8,7,32=8,10000,30
8,8,32=10,12000,35
8,9,32=12,14000,40
8,10,32=14,16000,45
8,11,33=17,32000,50
8,12,33=20,36000,55
8,13,33=23,40000,60
8,14,33=26,44000,65
8,15,33=30,48000,70
8,16,34=34,96000,75
8,17,34=38,104000,80
8,18,34=42,112000,85
8,19,34=46,120000,90
8,20,34=50,128000,95
9,1,31=1,0,0
9,2,31=2,500,6
9,3,31=3,1000,10
9,4,31=4,2000,15
9,5,31=5,4000,20
9,6,32=6,8000,25
9,7,32=8,10000,30
9,8,32=10,12000,35
