副本ID,剧情ID,名称,阶段,类型,玩家对话,武将ID,武将名,剧情
,,,,,,,,
,,,1=第一阵战斗前，2=第二阵战斗前，3=第3阵战斗前，4=战斗结束后（无论几阵）,1=对话框左，2=对话框右,默认空=0=不是玩家，1=是玩家说话，调用玩家的名称和形象卡,,,s%代表玩家名
10000,1,开场白,1,1,,99,神秘女子,东汉末年，朝纲混乱，战火纷飞~
10000,2,开场白,1,2,,31,神秘女子,有人屈服，从此终生为奴；有人反抗，从此身首异处……
10000,3,开场白,1,1,,99,神秘女子,战争，因何而起？  谁，是祸乱的源头？黑夜，何时褪去？  恶梦，何时醒来？
10000,4,开场白,1,2,,31,神秘女子,希望，到底在哪里？……
10000,5,开场白,1,1,,99,神秘女子,世间传闻，天下共有7颗凤珠，收集凤珠，召唤神龙，就可以实现一个愿望呢~
10000,6,开场白,1,2,,31,神秘女子,现在，只有凤珠才能带来和平，拯救天下~
,,,,,,,,
10001,1,,1,2,,503,于吉,快把凤珠交出来！
10001,2,,1,1,,502,南华仙人,我是不会告诉你集齐7颗凤珠可以召唤神龙的！
10001,3,,1,2,,503,于吉,不要逼我出手哦，会被秒杀的~
10001,4,,1,1,,501,潘凤,上将潘凤在此！
10001,5,,4,1,,501,潘凤,啊，我死了！
10001,6,,4,2,,503,于吉,哈哈，凤珠是我的了，要许个什么愿呢~
10001,7,,4,1,,502,南华仙人,呵呵，我得去寻找下一位救世主公了。。。
,,,,,,,,
10002,1,BOSS,1,2,,166,张梁,大哥，这小子终于来了！
10002,2,BOSS,1,2,,201,张宝,大哥，我们好好教训下这小子，竟想坏我们大事！
10002,3,BOSS,1,2,,151,张角,苍天已死，黄天当立！小子，我看你身手还不错，加入我们黄天会，给你个小头目当当如何？
10002,4,BOSS,1,1,1,,,看我口型，葛吴恩！
10002,5,BOSS,1,2,,151,张角,找死！
,,,,,,,,
,,,,,,,,
,,,,,,,,
10101,1,BOSS,1,2,,132,廖化,哈，小鲜肉上钩了！
10101,2,玩家,1,1,1,,,休得残害百姓！
10101,3,BOSS,1,2,,132,廖化,多管闲事，先吃我一刀！
10101,4,BOSS,4,2,,132,廖化,啊！为何如此英武不凡高大威猛英俊潇洒活泼可爱人人喊打的我会被你打败！……
10101,5,玩家,4,1,1,,,因为你是第一关……
10102,1,BOSS,1,2,,264,程远志,小娃娃，你的好运到此为止了！
10102,2,玩家,1,1,1,,,做好觉悟吧！
10102,3,BOSS,1,2,,264,程远志,小的们，好好招待这个猎物！
10102,4,BOSS,4,2,,264,程远志,快去禀报人公将军！
10103,1,BOSS,1,2,,166,张梁,吾乃人公将军张梁！
10103,2,玩家,1,1,1,,,管你是谁，受死吧！
10103,3,BOSS,1,2,,166,张梁,我大哥说，对方人多咱不要怕，好好布阵一个顶俩！
10103,4,BOSS,1,2,,166,张梁,把步兵和骑兵放在前面，弓兵和军师放到后面，我是不会告诉你这个秘诀的~
10103,5,BOSS,1,1,1,,,谢谢啊~
10103,6,BOSS,4,2,,166,张梁,你…你等着，我去叫我哥！
10103,7,玩家,4,1,1,,,快去快回啊~
10104,1,BOSS,2,2,,201,张宝,吾乃地公将军张宝！
10104,2,玩家,2,1,1,,,……
10104,3,BOSS,2,2,,201,张宝,听说你打我弟弟！
10104,4,玩家,2,1,1,,,我还要打你！
10104,5,BOSS,2,2,,201,张宝,为吾弟报仇！
10104,6,BOSS,4,2,,201,张宝,你…你等着，我去叫我哥！
10104,7,玩家,4,1,1,,,……又来……
10105,1,BOSS,3,2,,151,张角,黄天已死
10105,2,BOSS,3,2,,201,张宝,哥，是苍天！
10105,3,BOSS,3,2,,151,张角,苍天当立！
10105,4,BOSS,3,2,,201,张宝,哥，是黄天！
