场景ID,武将1,武将1名称,场景配表,场景背景
,,,,
,,UI面板上预览,,
,,,,
101,68,孟获,csv/scene/tower/101.csv,resource/bg/ChengNei_1.jpg
102,41,夏侯渊,csv/scene/tower/102.csv,resource/bg/ChengNei_2.jpg
103,123,袁绍,csv/scene/tower/103.csv,resource/bg/ChengNei_3.jpg
104,73,典韦,csv/scene/tower/104.csv,resource/bg/ChengQiang_1.jpg
105,74,曹丕,csv/scene/tower/105.csv,resource/bg/ChengQiang_2.jpg
106,28,步练师,csv/scene/tower/106.csv,resource/bg/ChengQiang_3.jpg
107,50,颜良,csv/scene/tower/107.csv,resource/bg/JunYingWai_1.jpg
108,98,华雄,csv/scene/tower/108.csv,resource/bg/JunYingWai_2.jpg
109,31,甘夫人,csv/scene/tower/109.csv,resource/bg/JunYingWai_3.jpg
110,42,文丑,csv/scene/tower/110.csv,resource/bg/ShanGu_1.jpg
111,71,周泰,csv/scene/tower/111.csv,resource/bg/ShanGu_2.jpg
112,153,诸葛果,csv/scene/tower/112.csv,resource/bg/ShanGu_3.jpg
113,70,魏延,csv/scene/tower/113.csv,resource/bg/HuLaoGuan_1.jpg
114,151,张角,csv/scene/tower/114.csv,resource/bg/HuLaoGuan_2.jpg
115,69,徐晃,csv/scene/tower/115.csv,resource/bg/HuLaoGuan_3.jpg
116,45,曹仁,csv/scene/tower/116.csv,resource/bg/TianYe_1.jpg
117,65,黄忠,csv/scene/tower/117.csv,resource/bg/TianYe_2.jpg
118,64,太史慈,csv/scene/tower/118.csv,resource/bg/TianYe_3.jpg
119,21,貂蝉,csv/scene/tower/119.csv,resource/bg/TianYe_1.jpg
120,1,张飞,csv/scene/tower/120.csv,resource/bg/TianYe_2.jpg
121,14,吕布,csv/scene/tower/121.csv,resource/bg/ChengNei_1.jpg
122,13,曹操,csv/scene/tower/122.csv,resource/bg/ChengNei_2.jpg
123,5,孙权,csv/scene/tower/123.csv,resource/bg/ChengNei_3.jpg
124,19,刘备,csv/scene/tower/124.csv,resource/bg/ChengQiang_1.jpg
125,20,左慈,csv/scene/tower/125.csv,resource/bg/ChengQiang_2.jpg
126,18,张辽,csv/scene/tower/126.csv,resource/bg/ChengQiang_3.jpg
127,22,华佗,csv/scene/tower/127.csv,resource/bg/JunYingWai_1.jpg
128,60,庞统,csv/scene/tower/128.csv,resource/bg/JunYingWai_2.jpg
129,16,赵云,csv/scene/tower/129.csv,resource/bg/JunYingWai_3.jpg
130,58,贾诩,csv/scene/tower/130.csv,resource/bg/ShanGu_1.jpg
131,2,周瑜,csv/scene/tower/131.csv,resource/bg/ShanGu_2.jpg
132,7,郭嘉,csv/scene/tower/132.csv,resource/bg/ShanGu_3.jpg
133,49,孙坚,csv/scene/tower/133.csv,resource/bg/HuLaoGuan_1.jpg
134,60,庞统,csv/scene/tower/134.csv,resource/bg/HuLaoGuan_2.jpg
135,40,张绣,csv/scene/tower/135.csv,resource/bg/HuLaoGuan_3.jpg
,,,,
,,,,
201,68,孟获,csv/scene/tower/201.csv,resource/bg/ChengNei_1.jpg
202,41,夏侯渊,csv/scene/tower/202.csv,resource/bg/ChengNei_2.jpg
203,123,袁绍,csv/scene/tower/203.csv,resource/bg/ChengNei_3.jpg
204,73,典韦,csv/scene/tower/204.csv,resource/bg/ChengQiang_1.jpg
205,74,曹丕,csv/scene/tower/205.csv,resource/bg/ChengQiang_2.jpg
206,28,步练师,csv/scene/tower/206.csv,resource/bg/ChengQiang_3.jpg
207,50,颜良,csv/scene/tower/207.csv,resource/bg/JunYingWai_1.jpg
208,98,华雄,csv/scene/tower/208.csv,resource/bg/JunYingWai_2.jpg
209,31,甘夫人,csv/scene/tower/209.csv,resource/bg/JunYingWai_3.jpg
210,42,文丑,csv/scene/tower/210.csv,resource/bg/ShanGu_1.jpg
211,71,周泰,csv/scene/tower/211.csv,resource/bg/ShanGu_2.jpg
212,153,诸葛果,csv/scene/tower/212.csv,resource/bg/ShanGu_3.jpg
213,70,魏延,csv/scene/tower/213.csv,resource/bg/HuLaoGuan_1.jpg
214,151,张角,csv/scene/tower/214.csv,resource/bg/HuLaoGuan_2.jpg
215,69,徐晃,csv/scene/tower/215.csv,resource/bg/HuLaoGuan_3.jpg
216,45,曹仁,csv/scene/tower/216.csv,resource/bg/TianYe_1.jpg
217,65,黄忠,csv/scene/tower/217.csv,resource/bg/TianYe_2.jpg
218,64,太史慈,csv/scene/tower/218.csv,resource/bg/TianYe_3.jpg
219,21,貂蝉,csv/scene/tower/219.csv,resource/bg/TianYe_1.jpg
220,1,张飞,csv/scene/tower/220.csv,resource/bg/TianYe_2.jpg
221,14,吕布,csv/scene/tower/221.csv,resource/bg/ChengNei_1.jpg
222,13,曹操,csv/scene/tower/222.csv,resource/bg/ChengNei_2.jpg
223,5,孙权,csv/scene/tower/223.csv,resource/bg/ChengNei_3.jpg
224,19,刘备,csv/scene/tower/224.csv,resource/bg/ChengQiang_1.jpg
225,20,左慈,csv/scene/tower/225.csv,resource/bg/ChengQiang_2.jpg
226,18,张辽,csv/scene/tower/226.csv,resource/bg/ChengQiang_3.jpg
227,22,华佗,csv/scene/tower/227.csv,resource/bg/JunYingWai_1.jpg
228,60,庞统,csv/scene/tower/228.csv,resource/bg/JunYingWai_2.jpg
