武将ID,武将名称,阵营,职业ID,职业名称,星级,初始生命,初始攻击,初始防御,生命成长,攻击成长,防御成长,初始闪避,初始命中,初始格挡,初始破击,初始暴击,初始韧性,初始爆伤,初始抵抗,移动速度,攻击速度,攻击距离,普攻子弹ID,必杀技ID,必杀技CD,技能配音ID,进化1材料,进化2材料,进化3材料,进化4材料,进化5材料,进化6材料,进化7材料,进化8材料,进化9材料,进化10材料,进化11材料,进化12材料,武将简介,头像资源,人物资源,卡牌资源,骨骼动画,通用模型技能动作,骨骼比例,骨骼特效,骨骼特效比例,权值,掉落区域,性别,被动技能1,被动技能2,被动技能3,首轮顺序,循环顺序,情缘,图鉴开关
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0，空=不限制 1=pvp商店 2=名将副本 3=特殊掉落 4=抽卡及碎片箱子,,,,,,,,
,,1=群雄  2=魏  3=蜀  4=吴,1=步兵  2=枪兵  3=骑兵  4=弓兵  5=军师  6=术士,,,,,,随等级的成长值,,,千分之,千分之,千分之,千分之,千分之,千分之,百分比,千分之,像素/s,百分之,像素,attack子弹的ID,技能ID,毫秒,,,,,,,,,,,,,,,,,,骨骼动画对应的资源路径，包含png/plist/xml,对于小兵模型，取skill 或 skill2 或 null,对骨骼动画的模型进行百分比缩小,,,,,"0=男，1=女,2=不男不女",,,,,,类别 = 该类别id = 属性类型 =百分比提升值 =常量提升值,
,,,,,,,,,,,,,,,,,,,,,,,,"IFERROR(VLOOKUP(VLOOKUP(B5,[技能投放.xlsx]技能投放!$B$1:$D$1000,3,0),IF({1,0},[技能投放.xlsx]skill!$D$1:$D$1000,[技能投放.xlsx]skill!$A$1:$A$1000),2,0),"""")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,张飞,3,1,步兵,1,2279,251,339,229.9,25.5,34.1,112,12,75,50,100,25,15,12,,100,,118,51,15000,131,6004 6004 6003 6002 6002 6001,6028 6027 6014 6012 6011 6001,6075 6044 6026 6014 6011 6001,6091 6091 6045 6041 6026 6012,6098 6094 6078 6047 6046 6027,6145 6094 6092 6078 6046 6043,6147 6146 6097 6075 6071 6048,6193 6148 6126 6097 6077 6048,6192 6173 6148 6097 6092 6042,6196 6193 6123 6095 6094 6076,6222 6211 6195 6177 6144 6122,6228 6221 6192 6171 6141 6128,张飞，字翼德，涿郡人。刘备义弟，生得豹头环眼、燕颔虎须，势若奔马，性如烈火，声如巨雷，手持丈八蛇矛，有万夫不挡之勇，与关羽同称“万人敌”。是蜀汉刘备的创业合伙人。,resource/head_pic/ZhangFei.png,resource/hero_pic/ZhangFeiA.jpg,resource/card_pic/ZhangFei.jpg,resource/bones/ZhangFei,skill,85,resource/bones/ZhangFei_e,100,,4,,1001,1002,1003,0=0=1=3,0=1=0=3,1=19;15=1=30=0=桃园结义 1=151=2=24=0=力斩黄巾 1=15;16;17;65=1;3=25;25=0;0=五虎上将 2=20=2=20=0=丈八蛇矛 2=62=3=21=0=红龙鳞甲,1
2,周瑜,4,5,军师,3,1365,385,172,137.8,39,17.4,0,75,0,37,175,25,25,50,,100,,1014,32,15000,115,6004 6004 6003 6003 6002 6001,6027 6022 6013 6012 6011 6002,6071 6042 6025 6013 6012 6002,6095 6093 6047 6046 6028 6012,6097 6092 6076 6045 6041 6021,6141 6097 6091 6078 6042 6041,6142 6141 6095 6071 6071 6046,6191 6142 6125 6098 6075 6047,6196 6174 6147 6097 6093 6043,6193 6192 6125 6095 6092 6073,6222 6214 6198 6178 6142 6126,6221 6221 6197 6177 6148 6126,周瑜，字公瑾，汉末东吴名将，庐江舒县人。洛阳令周异之子，长壮有姿貌、精音律，誉为“江左风流美丈夫”。指挥三大战役之赤壁大战，击溃曹操百万大军，自此天下三分！迎娶百富美—小乔，郎才女貌，意气风发！,resource/head_pic/ZhouYu.png,resource/hero_pic/ZhouYuA.jpg,resource/card_pic/ZhouYu.jpg,resource/bones/ZhouYu,skill,80,resource/bones/ZhouYu_e,100,,4,,1004,1005,1006,0=2=1=0,0=1=0=2,1=23=1=18=0=珠联璧合 1=37=2=21=0=意气风发 1=9;60;7=2=35=0;0=智囊团 2=75=3=22=0=紫金百花袍 2=115=1=23=0=虚空纶巾,1
3,许褚,2,1,步兵,1,2199,264,287,221.8,26.9,28.9,0,0,0,0,0,0,0,0,,100,,253,76,15000,149,6004 6003 6003 6002 6001 6001,6023 6021 6014 6013 6012 6003,6077 6047 6026 6013 6012 6004,6092 6092 6047 6042 6027 6013,6094 6093 6071 6044 6042 6028,6142 6097 6097 6071 6045 6043,6148 6143 6095 6074 6073 6042,6191 6147 6122 6092 6071 6042,6196 6173 6144 6097 6096 6043,6197 6195 6128 6095 6092 6076,6226 6215 6196 6172 6144 6122,6228 6223 6196 6178 6144 6121,许褚，字仲康，沛国谯县人。褚长八尺余，腰大十围，容貌雄毅，勇力绝人，以勇猛著名，有「虎痴」之称。在曹操宛城战张绣时，因屡建战功，赐官内侯。在潼关，与马超裸衣大战，威名大振！,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,4,,1100,1101,1102,0=0=1=0,0=1=0=0,,
4,夏侯惇,2,1,步兵,3,2265,255,310,228.6,25.9,31.2,50,12,225,25,12,87,0,12,,100,,133,69,15000,145,6004 6004 6003 6002 6002 6001,6027 6022 6014 6011 6011 6002,6075 6041 6024 6014 6011 6002,6093 6091 6047 6044 6025 6014,6095 6095 6071 6046 6041 6024,6141 6093 6091 6071 6044 6043,6146 6145 6091 6078 6072 6047,6191 6145 6122 6096 6074 6045,6198 6176 6142 6096 6096 6046,6197 6194 6125 6096 6094 6073,6227 6218 6196 6177 6147 6124,6228 6228 6194 6171 6146 6122,夏侯惇，字元让，沛国谯县人，曹魏开国元勋，西汉开国元勋夏侯婴的后代。个性勇猛强悍，武艺超群，颇富个人魅力，很得军心。官至大将军，追谥忠侯。征讨吕布时，被流矢射瞎左眼，人称“盲夏侯”！,resource/head_pic/XiaHouDun.png,resource/hero_pic/XiaHouDunA.jpg,resource/card_pic/XiaHouDun.jpg,resource/bones/XiaHouDun,skill,80,resource/bones/XiaHouDun_e,90,150,4,,1007,1008,1009,0=0=1=0,0=1=0=0,1=69=2=19=0=曹魏健将 1=18=1=22=0=曹魏之刃 1=45;41=3=30=0;0=家族兄弟 2=160=1=21=0=灰烬战靴 2=68=3=21=0=八宝连环甲,1
5,孙权,4,4,弓兵,3,1136,451,162,114.8,45.5,16.7,0,87,0,25,187,0,45,0,,100,,138,85,15000,156,6004 6004 6002 6002 6001 6001,6027 6026 6012 6012 6011 6002,6074 6042 6028 6013 6012 6003,6097 6093 6047 6044 6025 6011,6098 6091 6077 6048 6043 6028,6142 6096 6091 6074 6046 6041,6146 6141 6095 6075 6072 6041,6196 6146 6127 6098 6078 6045,6194 6177 6147 6091 6091 6044,6198 6196 6124 6098 6096 6073,6225 6212 6193 6175 6142 6124,6226 6222 6191 6175 6147 6125,孙权，字仲谋，孙坚次子，孙策之弟。官二代，承父兄基业统治江东，东吴开国皇帝。相貌奇伟，碧眼紫髯。知人善任，委托周瑜、鲁肃、陆逊等英才于大任，称霸江东。曹操亦曾道：「生子当如孙仲谋」！,resource/head_pic/SunQuan.png,resource/hero_pic/SunQuanA.jpg,resource/card_pic/SunQuan.jpg,resource/bones/SunQuan,skill,75,resource/bones/SunQuan_e,90,,3,,1010,1011,1012,0=0=1=2,0=1=2=0,1=28=1=22=0=伉俪情深 1=37;49=3=30=0;0=奠基东吴 1=13;19=1=30=0;0=三国鼎立 2=113=2=22=0=青龙碧玉冠 2=162=3=20=0=蛟龙战靴,1
6,甘宁,4,1,步兵,3,2268,256,298,228.8,26,30,25,62,112,25,75,50,20,25,,100,,158,59,15000,138,6004 6003 6003 6002 6002 6001,6022 6021 6013 6013 6012 6002,6076 6043 6026 6012 6012 6002,6094 6091 6047 6043 6025 6012,6095 6092 6078 6044 6042 6025,6141 6098 6097 6075 6043 6043,6145 6142 6092 6078 6072 6042,6194 6142 6121 6097 6073 6042,6192 6173 6144 6096 6093 6042,6196 6196 6121 6097 6091 6072,6228 6214 6191 6175 6144 6128,6227 6223 6191 6175 6146 6125,甘宁，字兴霸，巴郡临江人。甘宁少时英武过人，曾啸聚山林，号“锦帆贼”。先投刘表，后归附东吴，并受到孙权厚待。破黄祖据楚关，攻曹仁取夷陵，镇益阳拒关羽，守西陵获朱光，率骑袭曹营，逍遥津八百破十万！战功赫赫，孙权曾说：“孟德有张辽，孤有甘兴霸，足可敌矣！”,resource/head_pic/GanNing.png,resource/hero_pic/GanNingA.jpg,resource/card_pic/GanNing.jpg,resource/bones/GanNing,skill,80,resource/bones/GanNing_e,90,150,4,,1103,1104,1105,0=1=0=3,0=1=0=3,1=49=1=21=0=水上称雄 1=69=3=21=0=刀斧相拼 1=44;64;51;71=1;2=25;25=0;0=江东柱石 2=10=2=21=0=古锭刀 2=68=3=19=0=八宝连环甲,1
7,郭嘉,2,5,军师,3,1435,396,180,144.9,40.1,18.2,37,25,100,25,87,62,10,62,,100,,535,61,15000,140,6004 6003 6002 6002 6001 6001,6025 6025 6014 6014 6011 6001,6078 6046 6025 6013 6011 6004,6095 6094 6048 6045 6026 6013,6096 6091 6076 6048 6044 6025,6144 6098 6095 6077 6046 6041,6146 6144 6095 6074 6072 6043,6198 6144 6127 6091 6075 6042,6191 6178 6142 6098 6098 6043,6193 6192 6122 6098 6094 6071,6223 6216 6193 6176 6147 6123,6227 6221 6197 6176 6142 6124,郭嘉，字奉孝，颖川阳翟人。曹操早期军事智囊团的核心人物之一，具有超卓不凡的战略眼光和入骨三分的察人目力。在曹操彻底粉碎袁绍、吕布等几个实力强大的军阀，成就北方制霸的过程中谋功至伟。是三国时期最强的军师，之一，号称“鬼才”！,resource/head_pic/GuoJia.png,resource/hero_pic/GuoJiaA.jpg,resource/card_pic/GuoJia.jpg,resource/bones/GuoJia,skill,80,resource/bones/GuoJia_e,90,150,4,,1013,1014,1015,0=1=2=0,0=1=2=0,1=13=1=23=0=鬼才 1=23=3=24=0=才艺双全 1=9;60;2=2=35=0;0=智囊团 2=26=2=23=0=朱雀羽扇 2=116=1=23=0=无双鬼才冠,1
