引导ID,记录ID,类型,小人对话方向,小人对话左下角坐标,小人内容,talkID,触发新引导ID,步骤跳转,旋转角度,距离,注释,,
,,,,,,,,,,,,,
,,0=正常 1=战斗结束后,1=不反，2=反,,,,,,,,,,
,,,,,,,,,,,,,
1000,,0,1,-250 240,请点击下面小头像释放技能,,,,90,,,,
1001,1,0,,,,20001,1002,,,,,,
,,,,,,,,,,,,,
1002,2,0,,,,20002,1003,,,,,,
1003,,0,1,-340 120,主公请点击这里，进入副本战斗吧！,,1004,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1004,,0,1,,,,1005,,1,,普通难度章节黄巾之乱,1004 1025 1031 1034 1037,
1005,,0,1,,,,1006,,1,,留出普通难度的章节一关卡1【初战黄巾】,,
1006,,0,1,-300 120,主公，让我们挑战第一关吧！,,1007,,1,,【挑战】,1006 1027,
1007,,0,1,-250 120,让廖化尝尝主公您的厉害!,,1008,,180,,留出【战】,,
1008,,10101,1,-250 200,主公，当积累了足够怒气，点击头像可以释放必杀技哦！,,1009,3,1,,留出可以释放技能的武将头像,,
1009,,0,1,,,,1010,,-90,,【去看看】,1009 1039 1067 1095,
1010,,0,,,,20003,1011,,1,,,,
1011,3,0,1,-250 120,主公，这是商城入口,商城可进行抽卡与购买元宝道具,1012,,-90,,【商城】,1011 1013,
1012,,0,1,-250 150,主公，可以免费银币单抽一次,,900,4,1,50,留出【银币抽卡】,,
900,,0,1,,,,901,,1,50,,,
901,,0,1,,,,1014,,1,,,,
1013,4,0,1,-250 120,主公，这里是商城入口,商城可进行抽卡与购买元宝道具,1014,,-90,,【商城】,,1011 1013
1014,,0,1,-250 150,还可以免费元宝单抽一次,,902,5,1,50,留出【元宝抽卡】,,
902,,0,1,,,,903,,1,50,,,
903,,0,1,,,,904,,1,,,,
904,,0,1,-250 120,恭喜主公获得两员大将，赶快派他们进队伍吧！,,1015,,-90,,,,
1015,5,0,1,-250 120,主公，这里是派遣武将出战的地方！,,1016,,1,,点将,1015 1019 1041 1046 1073 1077 1097 1100,
1016,,0,2,-250 120,主公，这位置空着！,,1017,,1,,【第二个武将槽】,1016 1042 1047,
1017,,0,1,0 0,,,1018,,1,-100,留出第二个武将槽对应的【选择武将】,,
1018,,0,2,-250 120,先上强力小奶妈——蔡文姬吧！,,1020,6,-90,,武将选择界面【第一个可选武将】,1018 1022 1076,
1019,6,0,2,-250 120,主公，这里是派遣武将出战的地方！,,1020,,1,,点将,1015 1019 1041 1046 1073 1077 1097 1100,
1020,,0,2,-250 120,主公，还有一个位置,,1021,,1,,留出【第三个武将槽】,,
1021,,0,1,,,,1022,,1,-100,留出第三个武将槽对应的【选择武将】,,
1022,,0,2,-250 120,就是你了，强力骑兵大将——华雄！,,1023,7,-90,,武将选择界面【第一个可选武将】,1018 1022 1076,
