VIP等级,充值RMB,体力上限增加,体力购买次数,战场次数增加,购买战场次数,传奇副本次数增加,购买传奇副本次数,战场无CD,加速战斗,自动战斗,招财次数,好友数量增加,武将包上限,精英可购买挑战次数,扫荡次数,强化暴击区间,宝箱购买次数,购买VIP礼包,商店开启,远征挑战次数,远征银币收益提升,副本多次扫荡功能
,,,,,,,,,,,,,,,默认空=无限,,,,,,,
0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,30,1,2,0,1,1,0,0
1,6,5,2,0,2,0,0,0,1,0,5,2,10,0,40,1,4,1,1,1,0,0
2,20,5,3,0,3,0,0,0,1,0,12,3,15,1,50,1,6,2,1,1,0,1
3,50,10,4,1,4,0,0,0,1,0,18,4,20,2,60,2,8,3,1,1,0,1
4,100,15,5,2,5,0,0,0,1,1,25,5,25,3,70,2,12,4,1,1,0,1
5,200,20,6,2,6,0,0,1,1,1,35,6,30,4,,2,16,5,1,1,0,1
6,300,25,7,3,7,0,0,1,1,1,45,7,35,5,,3,20,6,1,1,0,1
7,500,30,8,3,8,0,1,1,1,1,60,8,40,6,,3,25,7,2,1,0,1
8,700,35,9,4,9,0,1,1,1,1,75,10,50,7,,3,30,8,2,1,0,1
9,1000,40,10,4,10,0,1,1,1,1,90,12,60,8,,3,35,9,2,2,0,1
10,1500,45,11,5,11,0,1,1,1,1,110,14,70,9,,3,40,10,3,2,0,1
11,2000,50,12,5,12,0,2,1,1,1,130,16,80,10,,3,45,11,3,2,20,1
12,4000,55,13,5,14,0,2,1,1,1,150,18,90,11,,3,50,12,3,2,50,1
13,8000,60,14,7,16,0,2,1,1,1,200,20,100,12,,3,60,13,3,2,100,1
14,15000,65,15,7,18,0,2,1,1,1,250,22,110,14,,3,80,14,3,2,100,1
15,20000,70,16,7,20,0,3,1,1,1,300,24,120,16,,3,100,15,3,2,100,1
